Substructure,Count,Count max,step max,step min,step count,step_list,median_score_fragment_max,median_score_fragment_min,Mean score cluster,median_score_fragment_list,diff_median_score_max,diff_median_score_min,Mean diff score,diff_median_score_list,count_per_molecule_max,count_per_molecule_first,count_per_molecule_mean,Total Number of Molecules with Substructure,Number of Molecules with Substructure List,Molecules containing fragment,Number of Molecules_with_Fragment,count_perc_ratio
B1OCCO1,3,3,30,30,1,[30],0.0,0.0,0.0,[0.0],-0.0031798,-0.0031798,-0.0031798,[-0.0031798],2,2,2.0,2,[2],"{'CC(=C(B1OC(C)(C)C(C)(C)O1)B1OC(C)(C)C(C)(C)O1)c1ccccc1', 'CC1(C)OB(C(F)=C(c2ccccc2)c2ccccc2)OC1(C)C'}",2,1.0
C1=C2C(=Cc3ccccc32)c2ccccc2C1,2,2,210,210,1,[210],0.44155745,0.44155745,0.44155745,[0.44155745],0.1696968,0.1696968,0.1696968,[0.1696968],2,2,2.0,2,[2],"{'Cc1ccc(C2=C3C(=C(c4ccc(S(C)(=O)=O)cc4)c4ccccc43)c3ccccc3C2=O)cc1', 'c1ccc(C2=C3C(=C(c4ccccc4)c4ccccc43)c3ccccc3C2)cc1'}",2,1.0
C1=C2Cc3ccccc3C2c2ccccc21,2,2,370,370,1,[370],0.36602925,0.36602925,0.36602925,[0.36602925],-0.15168765,-0.15168765,-0.15168765,[-0.15168765],2,2,2.0,2,[2],"{'C(=C1C2=C(c3ccccc3)c3ccccc3C2(c2ccccc2)c2ccccc21)c1c2ccccc2cc2ccccc12', 'COc1ccc2c(c1)C(c1ccc([N+](=O)[O-])cc1)=C1C(=O)c3ccccc3C12'}",2,1.0
C1=CC2=CCC=C2C1,2,2,300,300,1,[300],0.4220675499999999,0.4220675499999999,0.4220675499999999,[0.4220675499999999],-0.08485485,-0.08485485,-0.08485485,[-0.08485485],2,2,2.0,2,[2],"{'COC1=C(c2ccccc2)C2=C(c3ccccc3)C(=O)C(C)=C2C1=C1C=CC(Br)=[N+]1[O-]', 'O=C1C(c2ccccc2)=C2C(=Cc3ccccc3F)C=CC2=C1c1cccc2ccccc12'}",2,1.0
C1=CC2=Cc3ccccc3C2=C1,2,2,160,160,1,[160],0.3935216,0.3935216,0.3935216,[0.3935216],0.1521063,0.1521063,0.1521063,[0.1521063],2,2,2.0,2,[2],"{'CC1=C(c2ccccc2)C2=C(c3ccccc3)c3ccccc3C2=C1c1ccccc1', 'CC1=C(c2ccccc2)C(c2ccc(C=C3C(c4ccccc4)=C(c4ccccc4)c4ccccc43)cc2)=C2C1=C(c1ccccc1)c1ccccc12'}",2,1.0
C1=CCC=C1,73,9,390,140,19,"[140, 180, 190, 200, 210, 220, 230, 240, 250, 260, 270, 280, 290, 300, 340, 350, 360, 380, 390]",0.4980921,0.0937093,0.3791851947368421,"[0.0937093, 0.33928215, 0.340254, 0.2548881, 0.3412066, 0.3637968, 0.4189796, 0.30722855, 0.3813954, 0.3800505, 0.4643177, 0.3933287, 0.3557531, 0.4727451, 0.45731275, 0.4980921, 0.3878201, 0.46637465, 0.4879835]",0.08603925,-0.1218294,-0.02417217368421053,"[-0.09105685, 0.08603925, 0.0666110999999999, -0.0484760999999999, 0.0668627, 0.01696595, 0.0261457999999999, -0.0652862499999999, -0.02266485, -0.0307464, 0.0144639999999999, -0.0774407, -0.1218294, -0.0320513499999999, -0.0524152499999999, 0.0168070999999999, -0.1190784, -0.06206325, -0.0300584]",18,6,8.631578947368421,164,"[6, 6, 5, 7, 7, 6, 7, 9, 7, 4, 9, 9, 4, 10, 11, 18, 17, 13, 9]","{'O=C1C=CC([N+]2=C(c3ccccc3)C(c3ccccc3)=C(c3ccccc3)[B-]2(Cl)Cl)=C1Cl', 'O=C1C(=NNc2ccccc2)C(=C2C(Br)=C(c3ccccc3)C(c3ccccc3)=C2c2ccccc2)c2ccccc21', 'COc1ccc(C2=C(C(=C3C=C(Cl)C(=O)C(Cl)=C3Cl)c3ccc(F)cc3)C(F)(F)C(c3ccc(OC)cc3)=C2c2ccc(OC)cc2)cc1', 'C1=Cc2ccccc2C1=C1C(c2ccccc2)=C(c2ccccc2)C(c2ccccc2)=C1c1ccccc1', 'O=C1C(c2ccccc2)=CC(c2ccccc2)=CC1=C1C=C(F)C(c2ccccc2)=C1c1ccccc1', 'F[B-]1(F)n2cccc2C(=C2C=CC(c3ccccc3)=C2)c2cccn21', 'O=C1C=C(c2ccc(Cl)s2)C(c2ccc(Cl)cc2)=C1C(=C1Sc2ccccc2C1=O)c1ccc(Cl)cc1', 'C1=CC(=C2C=Cc3ccccc32)C=C1', 'F[B-]1(F)n2cccc2C(=C2C=CC(c3ccc4ccccc4c3)=C2)c2cc(Cl)c(Cl)n21', 'Brc1ccc(CN2N=C(c3ccccc3)CC2=C2C=C(c3ccccc3)C(c3ccccc3)=C2c2ccccc2)cc1', 'O=C1C(=C2C=CC=C2)C(=C2c3ccccc3C(=O)c3ccccc32)c2ccccc21', 'F[B-]1(F)c2ccccc2C2=[N+]1C(=C1C=CC(c3ccccc3)=C1)N(c1ccccc1)C(c1ccccc1)=C2', 'O=[N+]1C(=C([O-])O)c2ccccc2C1=C1C=CC=C1', 'c1ccc(C2=C(c3ccccc3)C(c3ccccc3)=C(c3c4ccccc4cc4ccccc34)C2=C(c2ccccc2)c2ccccc2)cc1', 'COc1ccc(C=C2C=C(c3ccc(Oc4ccccc4)cc3)C(c3ccc(Br)cc3)=C2c2ccc(Br)cc2)cc1OC', 'O=C1C(c2ccccc2)=C(c2ccccc2)C(c2ccccc2)=C1n1c(-c2ccccc2)cc2cc(-c3ccccc3)ccc21', 'C#CCC1=CC=CC(=c2c(=C3C=CC=C3Br)cc(-c3ccccc3)n2-c2ccccc2)C1=O', 'F[B-]1(F)C(=C2C=CC=C2)C(c2ccccc2)=C(Br)c2cccn21', 'Fc1ccc(C2=C(c3ccccc3)C(c3ccccc3)=C(c3ccccc3)C2=C(Cl)c2ccccc2)c(-c2ccccc2)c1', 'Cc1c(-c2ccccc2)n2n1C(=C1C=CC=C1c1ccccc1)[N+](=C1c3ccccc3-c3ccccc31)[B-]2(F)F', 'F[B-]1(F)c2ccccc2C(=C2C=CC(c3ccc[nH]3)=C2)c2cccn21', 'CNC=C1C([N+]#N)=C([O-])C([N+](=O)[O-])=C1c1ccccc1', 'O=C1C(C2=C(c3ccccc3)C(c3ccccc3)=[N+](c3ccc(Cl)cc3)[B-]2(F)F)=C(c2ccccc2)C(c2ccccc2)=C1c1ccccc1', 'CC1=CC(=C2C3=C(C(=Cc4ccccc4)c4ccccc43)c3ccccc32)C(c2ccccc2)=C1C', 'Cc1ccc(C2=NN(c3ccccc3)[B-](F)(F)[N+]2=C2C=CC(c3ccccc3)=C2)cc1', 'O=C1OCC(c2ccccc2)N1C(=C1C=CC=C1Br)[N+]1=CC2C([O-])=CC1c1ccccc12', 'C1=C(c2ccccc2)C(=Nc2ccc(-c3ccccc3)cc2)C(c2ccccc2)=C1c1ccccc1', 'Clc1ccc(C2=C(c3ccc(Cl)cc3)C(c3ccc(Cl)cc3)C(c3ccccc3)=C2c2ccccc2)cc1', 'ClC1=CC(=C2[S+]=C3N=C(c4ccccc4)[N-]N3c3cc(Cl)ccc32)C(Cl)=C1Cl', 'C1=CC(=C2C=C(c3ccccc3)c3ccccc32)C=C1', 'C1=C(c2ccccc2)C(c2ccccc2)=C(c2ccccc2)C1=C1C(c2ccccc2)=C(c2ccccc2)C(c2ccccc2)=C1c1ccccc1', 'O=C1C(=C(c2ccccc2)c2ccccc2)C2(C(c3ccccc3)=C(c3ccccc3)C(c3ccccc3)=C2c2ccccc2)c2ccccc21', 'c1ccc(C2=C(c3ccccc3)C(c3ccccc3)=C(c3ccccc3)C2=C2CSCO2)cc1', 'Cc1cc(C)n2c1C(=C1C=CC(c3ccccc3)=C1)n1cccc1[B-]2(F)F', 'ClC1=C(c2ccccc2)C(c2ccccc2)=C(c2ccc(Cl)cc2)C1=C1c2ccccc2-c2ccccc21', 'CC1(C)c2ccccc2N(c2ccc(F)cc2)C12C(=C1C=CC=C1)C=CC[S+]2[O-]', 'ClC1=C(Cl)C(c2ccc(Cl)cc2)=C(Br)C1=C(c1ccccc1)c1ccccc1', 'Cn1c(=C2[NH+]=c3c(Cl)c(oc(=O)c3=C3C=CC=C3Cl)-c3ccccc32)ccc1=c1c2nc(=Cc3ccccc3Cl)c-2[n+]1[O-]', 'C(=C1C(c2ccccc2)=C(c2ccccc2)C(c2ccccc2)=C1c1ccccc1)=C(c1ccccc1)c1ccccc1', 'C1=C(c2ccc(C3=C(c4ccccc4)C(c4ccccc4)=C(c4ccccc4)C3=C3c4ccccc4-c4ccccc43)cc2)c2cccc3cc4ccccc4c1c23', 'CC1=CC(=C2C(=O)C(=Cc3ccccc3)c3ccccc32)C(c2ccccc2)=C1', 'COC1=CC=C(c2cccc3ccccc23)C1=C(c1ccccc1)c1ccccc1', 'FC1(F)C(Cl)=C(c2ccccc2)C(c2ccccc2)=C1c1ccncc1', 'COc1ccc(C2=Cc3c(Cl)ccn3[B-](F)(F)C2=C2C=CC(c3ccc(Br)cc3)=C2)cc1', 'Cc1ccc(C2=CC=C(c3ccccc3)C2=C2c3ccccc3-c3ccccc32)cc1', '[O-]C1=C(c2ccccc2)C(=c2ccc(=C3C=CC(c4ccccc4)=[S+]3)s2)C=C1', 'F[B-]1(F)c2cccn2C(=C2C=CC(c3ccncc3)=C2)c2cccn21', 'Cc1c(Br)c(C)n2c1C(=C1C=C(c3ccccc3)C(Br)=C1c1ccc([N+](=O)[O-])cc1)c1cccn1[B-]2(F)F', 'O=[N+]1c2ccccc2C(=C2C=CC=C2)c2cccn2[B-]1(F)F', 'O=C1C(C2=CC(=O)c3ccccc3C2=O)=C(c2ccccc2)C(c2ccccc2)=C1c1ccccc1', 'C(=C1C=C(c2ccccc2)C(c2ccccc2)=C1c1ccccc1)c1c2ccccc2cc2ccccc12', 'C1=C(c2ccccc2)C(c2ccccc2)=CC1=c1cc2c(=Cc3ccccc3)c3ccccc3[n-]c-2[s+]1', 'COc1ccc(C2=C(c3ccccc3)C(c3ccccc3)=C(c3ccc(F)cc3)C2=C2c3ccccc3-c3ccccc32)cc1', 'COC(=O)C1=C(Cl)C(=C2C=C(Cl)C(Cl)=C2C)[P-](C)(=O)=C1Cl', 'O=[N+]([O-])c1ccc(C2=CC=C(c3ccccc3)C2=C2C(c3ccccc3)=C(c3ccccc3)c3ccccc32)cc1', 'COc1c(C#N)c(C#N)c2c(c1C(=O)c1ccccc1)C1(OC(c3ccc(C)cc3)=C2)C(c2ccccc2)=C(c2ccccc2)C(c2ccccc2)=C1c1ccccc1', 'CC1([O-])C=[NH+]C(=C2C=CC(N([O-])[O-])=C2)[N+]1=O', 'BrC1=C(Br)C(=C2C(c3ccccc3)=C(c3ccccc3)c3c(Br)ccc(Br)c32)C(Br)=C1Br', 'O=C(Oc1ccccc1)C1=CC=CC1=Cc1ccc(-c2ccccc2)cc1', 'O=C1C(C2=C(c3ccccc3)C(c3ccccc3)=C(c3ccccc3)C2=O)=C(c2ccccc2)C(c2ccccc2)=C1c1ccccc1', 'F[B-]1(F)n2cccc2C(=C2C=CC=C2)c2nccn21', 'Cc1ccc(C(=C2C=CC([O-])=C2)c2[s+]c3ccccc3n2-c2ccccc2)cc1', 'O=C1C(c2ccc([N+](=O)[O-])cc2)=CN(Cc2ccccc2)C1=C1C=CC=C1', 'CC=C1C(=Nc2ccc(N=Nc3ccc(OC)cc3)cc2)c2ccccc2N1C=C1C=CC=C1', 'CC1=C(c2c3ccccc3cc3ccccc23)C(=NNc2ccccc2C)C(N)=C1C#N', 'FC(F)(F)c1ccc(C2=C(Cl)C(c3ccccc3)=C(c3ccccc3)C2=C(c2ccccc2)c2ccccc2)cc1', 'OC1=C(c2ccc(Cl)cc2)C(c2ccc(Cl)cc2)=C(c2ccccc2)C1=C1c2ccccc2-c2ccccc21', 'F[B-]1(F)c2cccn2C(=C2c3cccn3[B-](F)(F)[N+]2=C2C=CC=C2)c2cccn21', 'CC1=C(c2ccccc2C)C(Cl)=C(c2ccccc2Cl)C1=C1c2ccccc2-c2ccccc21', 'O=C(C(=C1C=CC=C1)c1ccc[nH]1)c1ccccc1', 'N#CC1=C(c2ccccc2)C(c2ccccc2)=CC1=C(c1ccccc1)c1ccccc1'}",71,3.0
C1=CCC=CC1,23,3,370,180,9,"[180, 200, 240, 250, 270, 310, 350, 360, 370]",0.5191074,0.2030457,0.37785362777777776,"[0.2030457, 0.2745138, 0.3650834, 0.2364224, 0.36570425, 0.5191074, 0.4385288, 0.502605, 0.4956719]",0.0115169,-0.1637728999999999,-0.04305020555555553,"[-0.0507649, -0.0302346, -0.00112295, -0.1637728999999999, -0.0865706, 0.0115169, -0.0436930999999999, -0.001314, -0.0214957]",5,3,3.111111111111111,28,"[3, 3, 4, 5, 2, 3, 2, 2, 4]","{'C[N+](C)=C1C=CC(=C2C=C(c3ccccc3)N3C(=C(c4ccccc4)c4cccn4[B-]3(F)F)C2)C=C1', 'CC1=C(c2ccccc2)C(O)(c2ccccc2)C(c2ccc(Cl)cc2)=CC1=O', 'CC1=CC(=C2C=C(N)C(=O)C(Br)=C2)C=C(Br)C1=O', 'COc1ccc(C2=C(C(=C3C=C(Cl)C(=O)C(Cl)=C3Cl)c3ccc(F)cc3)C(F)(F)C(c3ccc(OC)cc3)=C2c2ccc(OC)cc2)cc1', 'O=c1n2n(c(-c3ccc(Cl)cc3)[n+]1-c1ccccc1)C=CC(=C1C=CC(=[N+]([O-])[O-])C=C1)[B-]2(F)F', 'F[B-]1(F)C(=c2c(=C3C=CC(=[NH+]c4ccc(Cl)cc4)C=C3)c3cc(Br)ccc3c3ccccc23)c2ccsc2-c2cccn21', 'Cc1ccccc1NN=C1C=C(Br)C(=[N+]([O-])[O-])C(c2ccccc2)=C1', 'O=C1C=C(COc2ccc(Cl)cc2C(=O)c2ccccc2Cl)C(=C(c2ccccc2)c2cccc(Cl)c2)C=C1Cl', 'COC1=CC(=C2[S+]=C(c3ccc(N([O-])[O-])cc3)c3ccc(Cl)cc32)C(Cl)=CC1=O', 'BrC1=CC(=Cc2ccccc2Nc2ccccc2)C=CC1=NNc1ccccc1', 'COC1=C(Cl)C(=O)C(Cl)=C(Cl)C1=Cc1ccccn1', 'C[S+]=C1C(Cl)=CC(=C(c2ccccc2)c2ccccc2Br)C(Br)=C1Cl', 'CC1=CC(=O)C(O)=CC1=NNc1ccc(Oc2cccc(C=NNC(=O)c3ccncc3)c2)cc1', 'O=C1C=CC2(C(c3ccccc3)=NN(c3ccccc3)N=C2c2ccc([N+](=O)[O-])cc2)C(Cl)=C1Cl', 'COC1=C(Cl)C(=O)C(Cl)=C(Nc2ccccc2)C1=CNc1ccc(Cl)cc1', 'O=C1C(F)=C(F)C(=C(c2ccccc2)c2c[nH]c3ccccc23)C(F)=C1F', 'O=C1C(=C2C=C(c3ccccc3)C(=Nc3ccc4ccccc4c3)C=C2N2CCOCC2)c2ccccc2N1Cc1ccccc1', 'FC1=C(F)C(F)(F)C(F)=C(F)C1=C1c2cccnc2[B-](F)(F)n2cccc21', 'O=c1c(=C2C=CC(=[N+]([O-])[O-])C=C2)c2ccccc2n2c1=NC(c1ccccc1)=[O+][B-]2(F)F', 'C1=CC(=C(c2ccccc2)c2ccccc2)C=C(c2ccccc2)C1=Nc1ccccc1', 'FC1=CC(=C2c3ccccc3[B-](F)(F)n3cccc32)C=C(Cl)C1(F)F', 'Fc1ccc(C2=C(c3ccccc3)[P-]3(F)(=C4C=CC(=[N+](c5ccccc5)c5ccccc5)C=C4)C2=C(c2ccc(-c4cccs4)cc2)c2cccn2[B-]3(F)F)cc1'}",22,1.6666666666666667
C1=CCCC1,19,3,380,10,9,"[10, 190, 200, 230, 240, 290, 300, 370, 380]",0.42098225,0.0,0.26574062777777774,"[0.0, 0.3780401, 0.20352525, 0.32382795, 0.2322523, 0.2262817, 0.42098225, 0.2690708, 0.3376852999999999]",0.1060217,-0.2486461,-0.10794124444444442,"[-0.00038585, 0.1060217, -0.0998389499999999, -0.07050085, -0.13807365, -0.24852115, -0.0807737499999999, -0.2486461, -0.1907526]",7,1,4.0,36,"[1, 3, 6, 4, 3, 2, 7, 3, 7]","{'CC[Se]C1=C(c2cc(C(=O)OC)cc(C(C)(C)C)c2O)C(C#N)(c2cc(C3=C(c4cc(CCC(=O)OC)cc(OC)c4)CCC3)sc2C#Cc2ccc(OC)c(C#Cc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)c2)CC1=O', 'O=C1C=C(c2ccccc2)C(F)(F)C1=NNC(=O)c1ccccc1', 'O=c1c(C2=C(F)C(F)(F)C(F)(F)C2(F)F)c(-c2ccco2)[s+]([O-])c2ccccc12', 'Cc1cc(C)c(C2=C(c3cc(-c4ccccc4)sc3C)C(F)(F)C(F)(F)C2(F)F)c(C)c1', 'Cc1ccc(C)c2c1C(c1ccccc1)=C(c1ccccc1)C2=c1c2ccccc2c(=C2C=CC(=Nc3cccc4ccccc34)C2=O)c2ccccc12', 'O=C1C=CC(=C([O-])Nc2cccc3cccnc23)C1=[S+]c1ccccc1', 'O=C1C(=C(c2ccc3ccccc3c2)C(F)(F)F)C=C(F)C1(F)F', 'Cc1nn(-c2ccccc2)c(=C2C=CC(=O)C2=O)c1=Cc1ccccc1Cl', 'CC1=CC(=NC=C2C=C(c3ccccc3)C(c3ccccc3)=N2)C(=O)C1=C(c1ccccc1)c1ccccc1', 'O=C1C(C2=C(F)C(F)(F)C(F)(F)C2(F)F)=C(c2cccs2)c2ccccc21', 'O=C1C(=Cc2ccccc2)C(c2ccccc2)=C(CCc2ccccc2)C1=NNc1ccc([N+](=O)[O-])cc1', 'COc1ccc(C2=CC(=C3C(=O)C(F)=C(c4ccc(C)cc4)C3=[NH+]Nc3ccc(F)cc3)c3ccccc32)cc1', 'O=C1c2ccccc2C(=C2C(F)=C(c3c4ccccc4cc4ccccc34)C(F)(F)C2(F)F)c2ccccc21', 'Cc1cccc(N=c2ccc3ccccc3n2C(=O)C2=CC(=Cc3cccs3)C(F)(F)C2=O)c1', 'O=C1OC(=C2C=C(c3ccccc3)C(=S)C2=C(c2ccccc2)c2ccccc2)c2ccccc21', 'O=C1C(c2ccccc2)=C(c2ccccc2)C(=Cc2ccccc2)C1(c1ccccc1)c1ccccc1', 'Cc1cccc(-c2cc(C3=C(c4ccc(C5=C(c6cc(C)sc6C)C(F)(F)C(F)(F)C5=O)cc4C)C(F)(F)C(F)(F)C3(F)F)c(C)s2)n1'}",17,7.0
C1=CCCC=C1,30,3,360,120,14,"[120, 130, 140, 160, 170, 180, 200, 220, 260, 280, 310, 320, 330, 360]",0.5323402500000001,0.0509271,0.3194867107142857,"[0.17144215, 0.25065585, 0.0509271, 0.25284445, 0.2173246, 0.4856739499999999, 0.3061326, 0.3360472, 0.2178958999999999, 0.450861, 0.2857838, 0.4315901, 0.483295, 0.5323402500000001]",0.2324310499999999,-0.2233512,-0.01901924285714287,"[0.0534602499999999, 0.06847325, -0.1338454, 0.00390375, 0.00759535, 0.2324310499999999, 0.0060293999999999, -0.01078365, -0.192901, -0.0147995499999999, -0.2233512, -0.09173395, 0.00083105, 0.02842125]",5,4,3.0714285714285716,43,"[4, 4, 3, 3, 5, 3, 4, 3, 2, 2, 3, 2, 2, 3]","{'Cc1ccc(N=[N+]=C2C(=[OH+])C(=CC=CN([O-])[O-])C(F)=C(F)C2=C2C(=O)C=CC=C2[O-])cc1', 'O=C1C(c2ccccc2)=CC(c2ccccc2)=CC1=C1C=C(F)C(c2ccccc2)=C1c1ccccc1', '[O-][N+]([O-])=C1C=CC=CC1=C1C(Cl)=CC=C(c2ccccc2)C2=C1[CH-][S+]([O-])N2c1ccccc1', 'COC1=CC(=O)C(=NNc2ccccc2)C=C1c1ccccc1', 'C[O+]=C1C=CC=CC1=C(C)N[N+]1=C2C(=C(c3ccc(Br)cc3)O[B-]2(F)F)C(c2ccncc2)=C1Cl', '[O-]N([O-])c1ccc(C2=CC(c3ccc(Cl)cc3)=CC(=Nc3cc(N=[NH+]c4ccc(F)cc4)ccc3F)C2=[OH+])cc1', 'F[B-]1(F)C(=Cc2ccccc2)C(=C2C=C(c3ccccc3)C=C(c3ccccc3)C2=NNc2ccccc2)CC2=C(c3ccccc3)C=[N+]21', 'Cn1c(C(=C2C=CC=CC2=S(#[O+])c2ccccc2)c2ccccc2)nc(-c2ccccc2)c1C=c1[n-]c(=Cc2ccccc2)c(=O)n1-c1ccccc1', 'O=C1C(NCc2ccccn2)=CC=CC1=NNc1ccc([N+](=O)[O-])cc1', 'C[O+]=C1C=CC=CC1=[P-](=C1C=C(Oc2ccccc2)c2ccccc21)(c1ccccc1)c1ccccc1', 'C#CCC1=CC=CC(=c2c(=C3C=CC=C3Br)cc(-c3ccccc3)n2-c2ccccc2)C1=O', 'NC(=O)C1=C(c2ccc[nH]2)OC(=C2C=C(c3ccc[nH]3)C=C(c3ccccn3)C2=O)C1=O', 'CC1=CC(Cl)=CC(=C2C(=Cc3ccc(Cl)cc3)C(=O)C(=NNc3ccccc3)N2c2ccccc2)C1=O', 'O=C1C=CC=CC1=[S+]c1ccccc1', 'COC1=C(Br)C(=NNc2ccccc2[N+](=O)[O-])C(=O)C(Br)=C1[N+](=O)[O-]', 'O=C1C(=CNc2ccccc2N=Cc2ccccc2Cl)C(Cl)=CC(Cl)=C1Cl', 'COc1cccc(C2=CC=C(c3ccc(OC)c(OC)c3)C(=O)C2=NNc2ccccc2)c1', 'C[O+]=C1C=CC=CC1=[P-]1(c2ccccc2)=C(c2ccccc2)C2=Cc3ccccc3C(=O)C2=C1c1ccccc1', 'CC1=C(c2ccccc2)c2cc3c(cc2C(=O)C(=C2C=CC=CC2=O)c2ccccc2-3)O1', 'O=C1C=CC=CC1=c1[nH]c(=C2C=Cc3ccccc32)n(-c2ccccc2)c1=O', 'COC1=CC=CC(=NNc2ccnc3ccccc3c2=O)C1=C(OC)c1ccccc1', 'O=C1C(c2ccccc2)=CC(c2ccccc2)=CC1=C1C=CC(=NC(F)(F)F)c2ccccc21', 'C1=CC(=[NH+]c2ccccc2)C(=[O+]c2c(-c3ccccc3)cc(-c3ccccc3)n2-c2ccccc2)C=C1', 'Cn1cc(C2=Cc3ccccc3C2=C2C=C(Br)C(Br)=CC2=O)c2ccccc21', 'O=C1C=CC=CC1=c1cc[se]c1=C1Nc2ccccc2C1=O', 'Cc1cccc2c1C(=C1C=CC=CC1=O)C(c1ccccc1)=C2', 'O=C1C(=Nc2ccc(C=C3N=Cc4ccccc43)cc2)C=CC(O)=C1c1cccc2cccnc12', 'CC[S+]=C1C=CC=CC1=C1C=CC(N2[N-]C3[N-]C32)=C[N+]1=O', 'O=[N+]([O-])C1=CC=CC(=[S+]c2ccccc2)C1=[N+]1C=CC=C1Nc1ccc(N([O-])[O-])cc1', 'O=C1C=CC(=C2C(=O)C(O)=C(Nc3ccccc3)C=C2[N+](=O)[O-])C=C1'}",30,1.25
C1=CCCCC1,7,3,320,200,3,"[200, 230, 320]",0.53278025,0.1565414,0.37390396666666664,"[0.1565414, 0.43239025, 0.53278025]",0.0395564499999999,-0.1482069999999999,-0.03180475000000006,"[-0.1482069999999999, 0.0395564499999999, 0.0132362999999998]",4,4,3.3333333333333335,10,"[4, 4, 2]","{'CC1(C)C=C(c2ccccc2Cl)C(=CCc2ccccc2N=Nc2ccc(Cl)cc2)C(=O)C1', 'C=C1CC(=S)C(c2ccccc2)=C(c2ccccc2)C1=C', 'COC1=C(C)C(=O)C(=CNc2cccc3cccnc23)C(=O)C1=C(c1ccccc1)c1ccccc1', 'CC1=CC(=C2C(=O)C(=[S+]c3ccccc3)C(N([O-])[O-])=CC2=NNc2ccccc2)C=C(C)[N+]1=O', 'CC1=CC(=O)C(=C2Nc3ccccc3N=C2C)C(=NNc2ccccc2)C1=O', 'O=C1C=C(O)C(=O)C(=Cc2ccc(-c3ccccc3)cc2)C1=NNc1ccc(F)cc1', 'Cn1cccc1C1=CC(=C2c3cccn3[B-](F)(F)n3cccc32)C(=O)C(F)(F)C1(F)F'}",7,1.0
