Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment
COC,1,0.021978021978021976,2,0.04395604395604395
Cc1cc(C)n2c1C(=C1C=Cc3ccccc31)C(c1cccs1)=C1C=C(Cl)C(Cl)=[N+]1[B-]2(F)F,1,0.021978021978021976,2,0.04395604395604395
Cc1ccc(C2=C3C=C(c4ccco4)C(c4ccc(Br)cc4)=[N+]3[B-](F)(F)n3cccc32)cc1,1,0.021978021978021976,2,0.04395604395604395
Cc1ccc(C2=C3C(=O)C(=Cc4cccn4C)C(c4cccnc4)=C3c3ccccc32)cn1,1,0.021978021978021976,2,0.04395604395604395
Cc1ccc(C2=C3C(=C(c4cccn4C)c4cccn4[B-]3(F)F)[B-](F)(F)n3cccc32)cc1,1,0.021978021978021976,2,0.04395604395604395
Cc1ccc(C(=O)c2cc3ccccc3c3c2-c2ccccc2C3=Cc2ccccc2)cc1,1,0.021978021978021976,2,0.04395604395604395
Cc1cc2c3c(=Nc4ccccc4)nc(-c4ccccc4)n(c3[s+]1)C(c1ccccc1)=C2[O-],1,0.021978021978021976,2,0.04395604395604395
Cc1cc(C)n2c1C(c1ccccc1)=C1CB(c3ccccc3)c3ccccc3N1[B-]2(F)F,1,0.021978021978021976,2,0.04395604395604395
Cc1cc(C)c(-n2ccnc2-c2oc(-c3ccccc3)c3ccc4ccccc2c43)c(C)c1,1,0.021978021978021976,2,0.04395604395604395
Cc1ccc(C2=[N+]3C(=C(Cl)c4ccc(Br)cc43)c3ccccc3[B-](Cl)(Cl)n3cccc32)cc1,1,0.021978021978021976,2,0.04395604395604395
Cc1c(-c2ccccc2)c(C)n(S(=O)(=O)c2ccccc2[N+](=O)[O-])c(=O)c1-c1ccccc1,1,0.021978021978021976,2,0.04395604395604395
C[n+]1c(-c2ccccc2)c2c(n1-c1ccccc1Sc1ccccc1)-c1ccccc1C2=O,1,0.021978021978021976,2,0.04395604395604395
C[Si]1(C)CCCCCc2ccccc2-c2ccccc2-c2c1ccc1sc3ccccc3c21,1,0.021978021978021976,2,0.04395604395604395
C[Si](C)(C1=C(c2ccccc2)C(=O)C(c2ccccc2)=C1c1ccccc1)c1ccccc1,1,0.021978021978021976,2,0.04395604395604395
C[Si](C)(C)N=c1c2c(c3ccc(Cl)cc3n1-c1ccccc1)Nc1cccc3cccc-2c13,1,0.021978021978021976,2,0.04395604395604395
C[Si](C)(C)C(=C1N=C(c2ccc(Cl)cc2)[B-]2(C#C[Si](C)(C)c3ccccc3O2)O1)[Si](C)(C)C,1,0.021978021978021976,2,0.04395604395604395
