Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment,median_score,median_score_fragment,median_score_not_fragment,molecules_with_fragment,num_atoms,diff_median_score,step
CC(C)(C)SO,1,0.8547008547008548,2,1.7094017094017095,0.0003716,0.0,0.00038585,['CC(C)(C)SO'],6,-0.00038585,10
COC(=O)C1C(C#N)c2cc3ccccc3cc2C1OC(=O)C(C)(C)C,1,0.8547008547008548,2,1.7094017094017095,0.0003716,0.0,0.00038585,['COC(=O)C1C(C#N)c2cc3ccccc3cc2C1OC(=O)C(C)(C)C'],26,-0.00038585,10
Cc1ccc(S(=O)(=O)N2c3ccccc3CC(C)C2c2ccccc2C)cc1,1,0.8547008547008548,2,1.7094017094017095,0.0003716,0.0026543,0.00032315,['Cc1ccc(S(=O)(=O)N2c3ccccc3CC(C)C2c2ccccc2C)cc1'],28,0.00233115,10
CCCN1c2ccccc2[S+]=C([O-])N(Cc2ccc(C(F)(F)F)cc2)S1(=O)=O,1,0.8547008547008548,2,1.7094017094017095,0.0003716,0.0,0.00038585,['CCCN1c2ccccc2[S+]=C([O-])N(Cc2ccc(C(F)(F)F)cc2)S1(=O)=O'],28,-0.00038585,10
Clc1ccc(COc2cccc(COc3ccccc3-c3cnn[nH]3)c2)cc1,1,0.8547008547008548,2,1.7094017094017095,0.0003716,0.0077349,0.00032315,['Clc1ccc(COc2cccc(COc3ccccc3-c3cnn[nH]3)c2)cc1'],28,0.00741175,10
Cc1cc(C)c([N+]2=CC3([N+](=O)[O-])C=NC3(c3ccc([N+](=O)[O-])cc3)[N-]2)c(C)c1,1,0.8547008547008548,2,1.7094017094017095,0.0003716,0.0688722,0.00032315,['Cc1cc(C)c([N+]2=CC3([N+](=O)[O-])C=NC3(c3ccc([N+](=O)[O-])cc3)[N-]2)c(C)c1'],28,0.06854905,10
COC(=O)N1OC2(c3cccc4ccccc34)CCC(C1=O)C13CC(CC21)C3,1,0.8547008547008548,2,1.7094017094017095,0.0003716,0.0258411,0.00032315,['COC(=O)N1OC2(c3cccc4ccccc34)CCC(C1=O)C13CC(CC21)C3'],28,0.025517949999999998,10
CC(=O)NC(=O)OC1C(C)CCC2OC23CCC(C)C24CCC=C(C)C23C1O4,1,0.8547008547008548,2,1.7094017094017095,0.0003716,0.0,0.00038585,['CC(=O)NC(=O)OC1C(C)CCC2OC23CCC(C)C24CCC=C(C)C23C1O4'],28,-0.00038585,10
CCOC(=O)C1c2cc(Br)ccc2O[P-](=O)(=[O+]CC)C1CCc1ccccc1,1,0.8547008547008548,2,1.7094017094017095,0.0003716,0.0,0.00038585,['CCOC(=O)C1c2cc(Br)ccc2O[P-](=O)(=[O+]CC)C1CCc1ccccc1'],28,-0.00038585,10
COc1cc(-c2ccccc2)c(OC)c2c1C1(CCCC(=O)C1)CCC2O,1,0.8547008547008548,2,1.7094017094017095,0.0003716,0.0123465,0.00032315,['COc1cc(-c2ccccc2)c(OC)c2c1C1(CCCC(=O)C1)CCC2O'],27,0.01202335,10
CCOP(=O)(OCC)C(c1ccccc1)C1C(C(C)=O)C1c1ccccc1,1,0.8547008547008548,2,1.7094017094017095,0.0003716,0.0,0.00038585,['CCOP(=O)(OCC)C(c1ccccc1)C1C(C(C)=O)C1c1ccccc1'],27,-0.00038585,10
COc1ccc2c(=O)c(C3(C)C(Br)C(C(=O)O)C3c3ccco3)coc2c1,1,0.8547008547008548,2,1.7094017094017095,0.0003716,0.0153981,0.00032315,['COc1ccc2c(=O)c(C3(C)C(Br)C(C(=O)O)C3c3ccco3)coc2c1'],27,0.01507495,10
O=C1C2CC(=O)C3(OCC13)c1c(-c3ccccc3)nc3ccccc3c12,1,0.8547008547008548,2,1.7094017094017095,0.0003716,0.0397302,0.00032315,['O=C1C2CC(=O)C3(OCC13)c1c(-c3ccccc3)nc3ccccc3c12'],26,0.03940705,10
