Substructure,Count,Count max,step max,step min,step count,step_list,median_score_fragment_max,median_score_fragment_min,Mean score cluster,median_score_fragment_list,diff_median_score_max,diff_median_score_min,Mean diff score,diff_median_score_list,count_per_molecule_max,count_per_molecule_first,count_per_molecule_mean,Total Number of Molecules with Substructure,Number of Molecules with Substructure List,Molecules containing fragment,Number of Molecules_with_Fragment,count_perc_ratio
BrC(=C1c2ccccc2-c2cc3c4ccc(Br)cc4c4ccccc4c3cc21)c1ccccc1,1,1,290,290,1,[290],0.2395208,0.2395208,0.2395208,[0.2395208],-0.23528205,-0.23528205,-0.23528205,[-0.23528205],2,2,2.0,2,[2],{'BrC(=C1c2ccccc2-c2cc3c4ccc(Br)cc4c4ccccc4c3cc21)c1ccccc1'},1,1.0
BrC(Br)=c1c(=Cc2cccc3ccccc23)sc2ccccc12,1,1,110,110,1,[110],0.240548,0.240548,0.240548,[0.240548],0.0908476,0.0908476,0.0908476,[0.0908476],2,2,2.0,2,[2],{'BrC(Br)=c1c(=Cc2cccc3ccccc23)sc2ccccc12'},1,1.0
BrC12C(c3ccccc3)=CC(c3ccccc3)=C1N=C(c1ccccc1)c1ccccc12,1,1,320,320,1,[320],0.5552676,0.5552676,0.5552676,[0.5552676],0.0380636999999999,0.0380636999999999,0.0380636999999999,[0.0380636999999999],2,2,2.0,2,[2],{'BrC12C(c3ccccc3)=CC(c3ccccc3)=C1N=C(c1ccccc1)c1ccccc12'},1,1.0
BrC12c3ccccc3C34c5ccccc5C1C3(c1ccccc12)c1ccccc14,1,1,180,180,1,[180],0.0056822,0.0056822,0.0056822,[0.0056822],-0.2506965499999999,-0.2506965499999999,-0.2506965499999999,[-0.2506965499999999],2,2,2.0,2,[2],{'BrC12c3ccccc3C34c5ccccc5C1C3(c1ccccc12)c1ccccc14'},1,1.0
BrC1=C(Br)C(=C2C(c3ccccc3)=C(c3ccccc3)c3c(Br)ccc(Br)c32)C(Br)=C1Br,1,1,240,240,1,[240],0.2778079,0.2778079,0.2778079,[0.2778079],-0.08880235,-0.08880235,-0.08880235,[-0.08880235],2,2,2.0,2,[2],{'BrC1=C(Br)C(=C2C(c3ccccc3)=C(c3ccccc3)c3c(Br)ccc(Br)c32)C(Br)=C1Br'},1,1.0
BrC1=C(Br)c2ccccc2C1=Cc1ccccc1Br,1,1,320,320,1,[320],0.3976915,0.3976915,0.3976915,[0.3976915],-0.1241925,-0.1241925,-0.1241925,[-0.1241925],2,2,2.0,2,[2],{'BrC1=C(Br)c2ccccc2C1=Cc1ccccc1Br'},1,1.0
BrC1=C(Cc2ccccc2)C2c3ccc(Oc4cccc(Br)c4)cc3CCN2C1c1ccc(Br)cc1,1,1,70,70,1,[70],0.0054285,0.0054285,0.0054285,[0.0054285],-0.0291648499999999,-0.0291648499999999,-0.0291648499999999,[-0.0291648499999999],2,2,2.0,2,[2],{'BrC1=C(Cc2ccccc2)C2c3ccc(Oc4cccc(Br)c4)cc3CCN2C1c1ccc(Br)cc1'},1,1.0
BrC1=C(c2ccccc2)SC(c2ccccc2)=CS1,1,1,120,120,1,[120],0.1049005,0.1049005,0.1049005,[0.1049005],-0.0157228,-0.0157228,-0.0157228,[-0.0157228],2,2,2.0,2,[2],{'BrC1=C(c2ccccc2)SC(c2ccccc2)=CS1'},1,1.0
BrC1=CC(=Cc2ccccc2Nc2ccccc2)C=CC1=NNc1ccccc1,1,1,250,250,1,[250],0.5138834,0.5138834,0.5138834,[0.5138834],0.1200001,0.1200001,0.1200001,[0.1200001],2,2,2.0,2,[2],{'BrC1=CC(=Cc2ccccc2Nc2ccccc2)C=CC1=NNc1ccccc1'},1,1.0
BrC1=CC(Br)=C2C(Br)=CC=C3CC1=CC1=CC=CC(=C(Br)Br)C132,1,1,120,120,1,[120],0.3318489,0.3318489,0.3318489,[0.3318489],0.21528715,0.21528715,0.21528715,[0.21528715],2,2,2.0,2,[2],{'BrC1=CC(Br)=C2C(Br)=CC=C3CC1=CC1=CC=CC(=C(Br)Br)C132'},1,1.0
BrC1=CC2=C3c4ccccc4C(Br)C3C(Br)=C(Br)C2=C1c1ccccc1,1,1,370,370,1,[370],0.3885355,0.3885355,0.3885355,[0.3885355],-0.1286321,-0.1286321,-0.1286321,[-0.1286321],2,2,2.0,2,[2],{'BrC1=CC2=C3c4ccccc4C(Br)C3C(Br)=C(Br)C2=C1c1ccccc1'},1,1.0
BrC1=CC=C2C(=c3c4cccc3c1cc4)c1ccccc1C=CC2(c1ccccc1)c1ccccc1,1,1,100,100,1,[100],0.3236784,0.3236784,0.3236784,[0.3236784],0.2244372499999999,0.2244372499999999,0.2244372499999999,[0.2244372499999999],2,2,2.0,2,[2],{'BrC1=CC=C2C(=c3c4cccc3c1cc4)c1ccccc1C=CC2(c1ccccc1)c1ccccc1'},1,1.0
BrC1=CC=C2C=CC3=C(Br)C(=N1)C2=Cc1ccccc13,1,1,380,380,1,[380],0.3168948,0.3168948,0.3168948,[0.3168948],-0.2115113,-0.2115113,-0.2115113,[-0.2115113],2,2,2.0,2,[2],{'BrC1=CC=C2C=CC3=C(Br)C(=N1)C2=Cc1ccccc13'},1,1.0
BrC1=C[B-](Br)(C=C2C=CC=CN2)[NH2+]C1,1,1,220,220,1,[220],0.1309148,0.1309148,0.1309148,[0.1309148],-0.2167781,-0.2167781,-0.2167781,[-0.2167781],2,2,2.0,2,[2],{'BrC1=C[B-](Br)(C=C2C=CC=CN2)[NH2+]C1'},1,1.0
BrC1=Cc2cc3ccccc3cc2C1=c1ccc(=C2c3ccccc3Sc3ccccc32)c(Br)c1,1,1,150,150,1,[150],0.3099506,0.3099506,0.3099506,[0.3099506],0.09993925,0.09993925,0.09993925,[0.09993925],2,2,2.0,2,[2],{'BrC1=Cc2cc3ccccc3cc2C1=c1ccc(=C2c3ccccc3Sc3ccccc32)c(Br)c1'},1,1.0
BrC1=[N+]2C(=C(c3cccs3)c3cccn3[B-]2(Br)Br)C=C1,1,1,370,370,1,[370],0.5713668,0.5713668,0.5713668,[0.5713668],0.0593488999999999,0.0593488999999999,0.0593488999999999,[0.0593488999999999],2,2,2.0,2,[2],{'BrC1=[N+]2C(=C(c3cccs3)c3cccn3[B-]2(Br)Br)C=C1'},1,1.0
BrC1=[S+]C(=C2[N-]c3ccccc3S2)C2=C1c1cc3ccccc3n1CCC2,1,1,60,60,1,[60],0.2497312,0.2497312,0.2497312,[0.2497312],0.2259160999999999,0.2259160999999999,0.2259160999999999,[0.2259160999999999],2,2,2.0,2,[2],{'BrC1=[S+]C(=C2[N-]c3ccccc3S2)C2=C1c1cc3ccccc3n1CCC2'},1,1.0
BrC1C2CC3C4C2C2c5ccccc5C1C1(Br)C3C4C21,1,1,20,20,1,[20],0.0020487,0.0020487,0.0020487,[0.0020487],0.0008482,0.0008482,0.0008482,[0.0008482],2,2,2.0,2,[2],{'BrC1C2CC3C4C2C2c5ccccc5C1C1(Br)C3C4C21'},1,1.0
BrCC12C(c3ccccc3)=C(c3ccccc3)C1Cc1ccccc12,1,1,50,50,1,[50],0.0161047,0.0161047,0.0161047,[0.0161047],-0.0090304,-0.0090304,-0.0090304,[-0.0090304],2,2,2.0,2,[2],{'BrCC12C(c3ccccc3)=C(c3ccccc3)C1Cc1ccccc12'},1,1.0
BrCC1=Cc2ccc3c(Br)ccc4c3c2-c2c(Br)cccc2C14Br,1,1,90,90,1,[90],0.3319358,0.3319358,0.3319358,[0.3319358],0.2779633999999999,0.2779633999999999,0.2779633999999999,[0.2779633999999999],2,2,2.0,2,[2],{'BrCC1=Cc2ccc3c(Br)ccc4c3c2-c2c(Br)cccc2C14Br'},1,1.0
Br[B-]1(c2ccccc2)C(c2ccccc2)=C[B-]2(c3ccccc3)C(c3ccccc3)=CC=CC12Br,1,1,230,230,1,[230],0.2092574,0.2092574,0.2092574,[0.2092574],-0.1856939999999999,-0.1856939999999999,-0.1856939999999999,[-0.1856939999999999],2,2,2.0,2,[2],{'Br[B-]1(c2ccccc2)C(c2ccccc2)=C[B-]2(c3ccccc3)C(c3ccccc3)=CC=CC12Br'},1,1.0
Brc1c2c(cc(-c3ccncc3)c1=C1c3ccccc3-c3ncccc31)=C(c1ccncc1)c1cccnc1-2,1,1,340,340,1,[340],0.4555711,0.4555711,0.4555711,[0.4555711],-0.05289005,-0.05289005,-0.05289005,[-0.05289005],2,2,2.0,2,[2],{'Brc1c2c(cc(-c3ccncc3)c1=C1c3ccccc3-c3ncccc31)=C(c1ccncc1)c1cccnc1-2'},1,1.0
Brc1c2ccccc2c(-c2ccccc2)c2ccccc12,1,1,140,140,1,[140],0.0,0.0,0.0,[0.0],-0.18476615,-0.18476615,-0.18476615,[-0.18476615],2,2,2.0,2,[2],{'Brc1c2ccccc2c(-c2ccccc2)c2ccccc12'},1,1.0
Brc1c2ccccc2cc2cc(-c3c4ccccc4cc4ccccc34)ccc12,1,1,370,370,1,[370],0.528634,0.528634,0.528634,[0.528634],0.0166161,0.0166161,0.0166161,[0.0166161],2,2,2.0,2,[2],{'Brc1c2ccccc2cc2cc(-c3c4ccccc4cc4ccccc34)ccc12'},1,1.0
Brc1cc(Br)c2c(c1)[nH]c1cc3c4c5cc6oc7cccc(o5)c7c6c4n(-c4ccccc4)c4ccccc4n3c12,1,1,30,30,1,[30],0.056518,0.056518,0.056518,[0.056518],0.0534566999999999,0.0534566999999999,0.0534566999999999,[0.0534566999999999],2,2,2.0,2,[2],{'Brc1cc(Br)c2c(c1)[nH]c1cc3c4c5cc6oc7cccc(o5)c7c6c4n(-c4ccccc4)c4ccccc4n3c12'},1,1.0
Brc1cc(Br)n(-c2c3ccccc3nc3ccccc23)c1,1,1,190,190,1,[190],0.4981987,0.4981987,0.4981987,[0.4981987],0.2245557999999999,0.2245557999999999,0.2245557999999999,[0.2245557999999999],2,2,2.0,2,[2],{'Brc1cc(Br)n(-c2c3ccccc3nc3ccccc23)c1'},1,1.0
Brc1cc2c(Br)c(-c3ccccc3)c3cc4ccccc4cc3c2s1,1,1,230,230,1,[230],0.3836209,0.3836209,0.3836209,[0.3836209],-0.0113304999999999,-0.0113304999999999,-0.0113304999999999,[-0.0113304999999999],2,2,2.0,2,[2],{'Brc1cc2c(Br)c(-c3ccccc3)c3cc4ccccc4cc3c2s1'},1,1.0
Brc1cc2ccc1CCc1ccc(cc1Br)CC2,1,1,290,290,1,[290],0.0363363,0.0363363,0.0363363,[0.0363363],-0.43846655,-0.43846655,-0.43846655,[-0.43846655],2,2,2.0,2,[2],{'Brc1cc2ccc1CCc1ccc(cc1Br)CC2'},1,1.0
Brc1cc2ccccc2c(Br)c1-c1ccccc1,1,1,200,200,1,[200],0.0664431,0.0664431,0.0664431,[0.0664431],-0.2383052999999999,-0.2383052999999999,-0.2383052999999999,[-0.2383052999999999],2,2,2.0,2,[2],{'Brc1cc2ccccc2c(Br)c1-c1ccccc1'},1,1.0
Brc1ccc(-c2[nH]c3ccc(Br)cc3c2-c2ccncc2)cc1,1,1,270,270,1,[270],0.0781927,0.0781927,0.0781927,[0.0781927],-0.3738546,-0.3738546,-0.3738546,[-0.3738546],2,2,2.0,2,[2],{'Brc1ccc(-c2[nH]c3ccc(Br)cc3c2-c2ccncc2)cc1'},1,1.0
Brc1ccc(-c2c([B-](c3ccccc3)(c3ccccc3)c3ccccc3)c3c(-c4ccccc4)c(-c4ccccc4)[n+]2-3)cc1,1,1,240,240,1,[240],0.1795098,0.1795098,0.1795098,[0.1795098],-0.18710045,-0.18710045,-0.18710045,[-0.18710045],2,2,2.0,2,[2],{'Brc1ccc(-c2c([B-](c3ccccc3)(c3ccccc3)c3ccccc3)c3c(-c4ccccc4)c(-c4ccccc4)[n+]2-3)cc1'},1,1.0
Brc1ccc(-c2c3c4ccccc4cccc-3c3ccccc23)cc1,1,1,220,220,1,[220],0.2459503,0.2459503,0.2459503,[0.2459503],-0.1017426,-0.1017426,-0.1017426,[-0.1017426],2,2,2.0,2,[2],{'Brc1ccc(-c2c3c4ccccc4cccc-3c3ccccc23)cc1'},1,1.0
Brc1ccc(-c2cc(-c3ccccc3)nc3cc(-c4ccccc4)c(-c4ccccc4)cc23)cc1,1,1,140,140,1,[140],0.1042693,0.1042693,0.1042693,[0.1042693],-0.08049685,-0.08049685,-0.08049685,[-0.08049685],2,2,2.0,2,[2],{'Brc1ccc(-c2cc(-c3ccccc3)nc3cc(-c4ccccc4)c(-c4ccccc4)cc23)cc1'},1,1.0
Brc1ccc(-c2cc3c4ccccc4c4ccccc4c3c(-c3ccccc3)c2-c2ccc(Br)cc2)cc1,1,1,180,180,1,[180],0.0739905,0.0739905,0.0739905,[0.0739905],-0.1823882499999999,-0.1823882499999999,-0.1823882499999999,[-0.1823882499999999],2,2,2.0,2,[2],{'Brc1ccc(-c2cc3c4ccccc4c4ccccc4c3c(-c3ccccc3)c2-c2ccc(Br)cc2)cc1'},1,1.0
Brc1ccc(-c2ccc(-c3c4ccccc4cc4ccccc34)cc2)cc1,1,1,220,220,1,[220],0.5355834,0.5355834,0.5355834,[0.5355834],0.1896146,0.1896146,0.1896146,[0.1896146],2,2,2.0,2,[2],{'Brc1ccc(-c2ccc(-c3c4ccccc4cc4ccccc34)cc2)cc1'},1,1.0
Brc1ccc(-c2ccc3c(n2)=c2ccccc2=C(c2ccccc2)NN=3)cc1,1,1,110,110,1,[110],0.3975778,0.3975778,0.3975778,[0.3975778],0.2478773999999999,0.2478773999999999,0.2478773999999999,[0.2478773999999999],2,2,2.0,2,[2],{'Brc1ccc(-c2ccc3c(n2)=c2ccccc2=C(c2ccccc2)NN=3)cc1'},1,1.0
