Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment,median_score,median_score_fragment,median_score_not_fragment,molecules_with_fragment,num_atoms,diff_median_score,step
c1ccccc1,64,7.459207459207459,96,82.05128205128204,0.0003716,0.00148015,0.0001698,"['Cc1c[s+]c(-c2cncc(-c3ccc(C)c(-c4n[n-]c(-c5ccccn5)[s+]4)n3)c2)[n-]1', 'CCOC(=O)C1c2cc(Br)ccc2O[P-](=O)(=[O+]CC)C1CCc1ccccc1', 'COc1ccc(OC2C(=O)c3ccccc3C=C2c2ccccc2)cc1CN(Cc1ccccc1)Cc1ccccc1', 'O=C1C2CN3CCN1c1ccccc1C(C(F)(F)F)OC2(Nc1ccc(Br)cc1)CC3', 'c1ccc(SCCCSc2nnnc(-n3cccn3)n2)nc1', 'CCn1c(-c2ccc(C(=O)c3ccc(OC)cc3)cc2)nc2ccc(-c3ccc(Br)cc3Br)cc21', 'CCC(C)(B1OC(C2(c3ccccc3)N(Cc3ccccc3)CCN2c2ccccc2)=Cc2ccccc21)c1ccccc1', 'Cc1ccccc1-n1ncc(C)c1C1OS(=O)(=O)NC1c1ccccc1', 'CCOc1ccccc1C1C(c2ccc(OC)cc2)C12C(=O)N(C(c1ccccc1)c1ccccc1)c1ccccc12', 'CN1CCN(N=Nc2ccccc2Br)CC1=O', 'CC(=O)Nc1ccccc1C(=O)C(C)(C)F', 'Cc1ccc(S(=O)(=O)N2Cc3ccccc3C2c2ccccc2)cc1', 'Cc1cc(C)c(B(c2cccc(P(c3ccccc3)c3ccccc3)c2)c2c(C)cc(C)cc2C)c(C)c1', 'O=C1N(c2ccccc2)CCN1C1CC1Oc1ccc(F)cc1', 'CCOP(=O)(OCC)C(c1ccccc1)C1C(C(C)=O)C1c1ccccc1', 'Cc1c(C2OC(=O)c3ccccc32)cccc1C(c1ccccc1)c1ccccc1', 'Cc1nn(-c2ccccc2[N+](=O)[O-])nc1-c1ccc(C(=O)O)nc1', 'CP1COCC1C(=O)N1C(=O)c2ccccc2C1CC1C(CCc2ccccc2)CCCC1O[Si](C)(C)C(C)(C)C', 'O=C(C=Cc1c2ccccc2cc2ccccc12)c1ccc(Cl)cc1', 'OC1C2C=CN(CC2)C1Cc1ccc(Cl)cc1', 'Cc1cc(C)c([N+]2=CC3([N+](=O)[O-])C=NC3(c3ccc([N+](=O)[O-])cc3)[N-]2)c(C)c1', 'CC[Se]C1=C(c2cc(C(=O)OC)cc(C(C)(C)C)c2O)C(C#N)(c2cc(C3=C(c4cc(CCC(=O)OC)cc(OC)c4)CCC3)sc2C#Cc2ccc(OC)c(C#Cc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)c2)CC1=O', 'CCc1ccccc1N1CC(c2ccccc2)=Nc2cccnc21', 'CC1(C)C2CCC1C1(OCc3ccccc3)C(=O)c3ccccc3C21', 'FC1C2c3ccccc3C3OC4CCCC4c4cccc(c4OCc4ccccn4)Cc4cccc(c4OCc4ccccn4)C3C12', 'O=C(Nc1ccc(O)cc1)C(=O)ON1C(=O)c2ccccc2C1=O', 'CC(=O)Nc1ccc2ccccc2c1Cc1ccc(O)c(CN(Cc2ccccn2)Cc2ccccn2)c1O', 'Clc1ccc(COc2cccc(COc3ccccc3-c3cnn[nH]3)c2)cc1', 'CCCN1c2ccccc2[S+]=C([O-])N(Cc2ccc(C(F)(F)F)cc2)S1(=O)=O', 'Cc1ccc(S(=O)(=O)N2c3ccccc3CC(C)C2c2ccccc2C)cc1', 'O=C(Nc1cc(Br)c(Br)c2c(Br)cccc12)c1ccccc1Cl', 'N#Cc1ccc(-c2nnn3cc(C#N)ccc23)cc1', 'Cc1n[nH]c(=S)n1Cc1cccc(C23N=[O+]C2[N-]3)n1', 'CC1=NB(C(C#N)=Cc2ccccc2)N(c2cccnc2)[B-](c2ccccc2)(c2ccccc2)O1', 'CCOC(=O)c1c(OC)cc(OC)cc1OC', 'COc1ccc(-c2oc(=O)c(-c3ccccc3)cc2-c2cccc(OC)c2OC)cc1OC', 'CC(c1ccccc1)N1C(=O)C2CC1C1C3CC(C23)C1N(Cc1ccccc1)Cc1ccccc1', 'Cc1ccc(S(=O)(=O)NC23CC4CC(CC(C4)C2)C3)cc1', 'O=C(c1ccccc1Br)c1ccc2ccccc2c1C=CCl', 'NC(=O)c1ccc(N)cc1']",6,0.00131035,10
c1ccc2ccccc2c1,28,3.263403263403263,9,7.6923076923076925,0.0003716,0.0,0.0004001,"['CC(C)P(Cc1cccc2cccnc12)C(C)(C)C', 'COC(=O)N1OC2(c3cccc4ccccc34)CCC(C1=O)C13CC(CC21)C3', 'Oc1ccc2cccc(CNCCNCc3c4ccccc4cc4ccccc34)c2c1', 'CC(=O)Nc1ccc2ccccc2c1Cc1ccc(O)c(CN(Cc2ccccn2)Cc2ccccn2)c1O', 'O=C(Nc1cc(Br)c(Br)c2c(Br)cccc12)c1ccccc1Cl', 'Cc1nc2ccccc2c(N)c1C=O', 'CCCCCCCCCCCCOc1cccc2c(OCCCCCCCCCC)cccc12', 'O=C(c1ccccc1Br)c1ccc2ccccc2c1C=CCl']",10,-0.0004001,10
c1ccc(-c2cccc2)cc1,17,1.9813519813519813,0,0.0,0.0003716,0.0017935,0.00022225,"['c1ccc(SCCCSc2nnnc(-n3cccn3)n2)nc1', 'Cc1ccccc1-n1ncc(C)c1C1OS(=O)(=O)NC1c1ccccc1', 'Cc1nn(-c2ccccc2[N+](=O)[O-])nc1-c1ccc(C(=O)O)nc1', 'Cc1cccc(C)c1-n1nnnc1-c1ccccc1', 'Clc1ccc(COc2cccc(COc3ccccc3-c3cnn[nH]3)c2)cc1']",11,0.00157125,10
c1ccc2cccc2c1,15,1.7482517482517483,0,0.0,0.0003716,0.015255949999999999,0.0003716,"['N#Cc1c(-c2cc3oc4ccccc4c3o2)oc2ccccc12', 'CC(C)n1ccc2cc([N+](=O)[O-])ccc21', 'CCn1c(-c2ccc(C(=O)c3ccc(OC)cc3)cc2)nc2ccc(-c3ccc(Br)cc3Br)cc21', 'N#Cc1ccc(-c2nnn3cc(C#N)ccc23)cc1', 'S=c1sc2c(Cl)c(Cl)c(Cl)c(Cl)c2n1Cc1ccccc1', 'OCc1nc2ccccc2[nH]1']",9,0.01488435,10
,12,1.3986013986013985,0,0.0,0.0003716,0.0,0.0012603,"['CC(C)P(Cc1cccc2cccnc12)C(C)(C)C', 'O=S(=O)(O[C-]=C(c1ccccc1)C(F)(Br)c1ccccc1)C(F)(F)F', 'CC(=O)NCC(N)=O', 'O=c1cnn(C2OC(CO)C(O)C2O)c(=O)[nH]1', 'CCOP(=O)(OCC)C(c1ccccc1)C1C(C(C)=O)C1c1ccccc1', 'CP1COCC1C(=O)N1C(=O)c2ccccc2C1CC1C(CCc2ccccc2)CCCC1O[Si](C)(C)C(C)(C)C', 'CCOC(=O)C12COCOC1C1C(C)C(O[Si](C)(C)C(C)(C)C)C3OC1C(C)C(C)CCC32C', 'C#CC1(COC(=O)C(C)(C)C)CC(C(CO)NC(C)(C)C)C(COC(=O)c2ccc([N+](=O)[O-])cc2)O1', 'CCCCCCCCCCCCOc1cccc2c(OCCCCCCCCCC)cccc12', 'CC(C)(C)SO']",0,-0.0012603,10
c1ccc2c(c1)CCCC2,11,1.282051282051282,4,3.418803418803419,0.0003716,0.0075067,0.00022225,"['CCC1(C(=O)OC)CCc2ccccc2C1(C)C#N', 'COC(=O)c1ccc(C=C2CCCc3ccc(OC)cc32)c(OC)c1', 'Clc1cccc(C2COc3c(Cl)c(Cl)c(Cl)c(Cl)c3O2)c1', 'Cc1ccc(S(=O)(=O)N2c3ccccc3CC(C)C2c2ccccc2C)cc1', 'COc1cc(-c2ccccc2)c(OC)c2c1C1(CCCC(=O)C1)CCC2O']",10,0.00728445,10
c1ccc2c(c1)CCC2,10,1.1655011655011656,2,1.7094017094017095,0.0003716,0.0,0.0009483,"['CNC(=O)C=CN1C(=O)c2ccccc2C1(C)O', 'CCOc1ccccc1C1C(c2ccc(OC)cc2)C12C(=O)N(C(c1ccccc1)c1ccccc1)c1ccccc12', 'CCN1C(=S)c2ccccc2S1(=O)=O', 'Cc1ccc(S(=O)(=O)N2Cc3ccccc3C2c2ccccc2)cc1', 'Cc1c(C2OC(=O)c3ccccc32)cccc1C(c1ccccc1)c1ccccc1', 'CP1COCC1C(=O)N1C(=O)c2ccccc2C1CC1C(CCc2ccccc2)CCCC1O[Si](C)(C)C(C)(C)C', 'O=C(Nc1ccc(O)cc1)C(=O)ON1C(=O)c2ccccc2C1=O', 'CC(C)(C)OC(=O)N1C(C(c2ccccc2)C2(C)C(=O)N(Cc3ccccc3)c3cc(Cl)ccc32)=C2CCC1C1OC(C)(C)OC1C2']",9,-0.0009483,10
c1ccc(CC(Cc2ccccc2)Cc2ccccc2)cc1,8,0.9324009324009324,0,0.0,0.0003716,0.0300323,0.0003716,"['COc1ccc(OC2C(=O)c3ccccc3C=C2c2ccccc2)cc1CN(Cc1ccccc1)Cc1ccccc1', 'CC(=O)Nc1ccc2ccccc2c1Cc1ccc(O)c(CN(Cc2ccccn2)Cc2ccccn2)c1O']",22,0.0296607,10
c1ccc2cc3ccccc3cc2c1,8,0.9324009324009324,2,1.7094017094017095,0.0003716,0.0,0.0004001,"['Oc1ccc2cccc(CNCCNCc3c4ccccc4cc4ccccc34)c2c1', 'O=C(C=Cc1c2ccccc2cc2ccccc12)c1ccc(Cl)cc1']",14,-0.0004001,10
c1ccc(C(c2ccccc2)c2ccccc2)cc1,7,0.8158508158508158,1,0.8547008547008548,0.0003716,0.01046325,0.0002747,"['Cc1cc(C)c(B(c2cccc(P(c3ccccc3)c3ccccc3)c2)c2c(C)cc(C)cc2C)c(C)c1', 'Cc1c(C2OC(=O)c3ccccc32)cccc1C(c1ccccc1)c1ccccc1']",19,0.010188550000000001,10
