Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment
c1ccc2cc3ccccc3cc2c1,13,1.6927083333333333,9,12.676056338028168
[B-]1n2cccc2C=C2C=CC=[N+]12,8,1.0416666666666665,8,11.267605633802818
[BH2-]1n2cccc2C=C2C=CC=[N+]12,8,1.0416666666666665,0,0.0
*c1c2ccccc2cc2ccccc12,6,0.78125,7,9.859154929577464
[BH2-]1n2cccc2C=C2C(c3ccccc3)=CC=[N+]12,6,0.78125,0,0.0
[BH2-]1n2cccc2C=C2C=CC(c3ccccc3)=[N+]12,5,0.6510416666666667,0,0.0
c1ccc2occc2c1,4,0.5208333333333333,2,2.8169014084507045
c1ccc2ccccc2c1,4,0.5208333333333333,14,19.718309859154928
[B-]1C2=CC=CC2=Cc2cccn21,4,0.5208333333333333,4,5.633802816901409
[BH2-]1C2=CC=CC2=Cc2cccn21,4,0.5208333333333333,0,0.0
[BH2-]1n2cccc2C=C2C(c3ccccc3)=CC(c3ccccc3)=[N+]12,4,0.5208333333333333,0,0.0
*C1=CC(*)=[N+]2[BH2-]n3cccc3C(*)=C12,4,0.5208333333333333,0,0.0
*C1=C2C(c3ccccc3)=CC(c3ccccc3)=[N+]2[BH2-]n2cccc21,4,0.5208333333333333,0,0.0
*C1=CC(c2ccccc2)=[N+]2[BH2-]n3cccc3C(*)=C12,4,0.5208333333333333,0,0.0
*C1=C2C(c3ccccc3)=CC(*)=[N+]2[BH2-]n2cccc21,4,0.5208333333333333,0,0.0
c1ccc2c(c1)Cc1ccccc1-2,4,0.5208333333333333,5,7.042253521126761
[BH2-]1C2=Cc3cccn3[BH2-]C2=Cc2cccn21,4,0.5208333333333333,0,0.0
[B-]1C2=Cc3cccn3[B-]C2=Cc2cccn21,4,0.5208333333333333,4,5.633802816901409
C1=Cc2ccccc2C1,3,0.390625,6,8.450704225352112
[BH2-]1n2cccc2C(c2ccccc2)=C2C(c3ccccc3)=CC(c3ccccc3)=[N+]12,3,0.390625,0,0.0
[BH2-]1n2cccc2C(c2ccccc2)=C2C=CC(c3ccccc3)=[N+]12,3,0.390625,0,0.0
*C1=CC(c2ccccc2)=[N+]2[BH2-]n3cccc3C(c3ccccc3)=C12,3,0.390625,0,0.0
[BH2-]1n2cccc2C(c2ccccc2)=C2C=CC=[N+]12,3,0.390625,0,0.0
*C1=C2[BH2-]n3cccc3C(*)=C2[BH2-]n2cccc21,3,0.390625,0,0.0
*C1=CC(*)=[N+]2[BH2-]n3cccc3C(c3ccccc3)=C12,3,0.390625,0,0.0
*C1=[N+]2[BH2-]n3cccc3C(c3ccccc3)=C2C(c2ccccc2)=C1,3,0.390625,0,0.0
[BH2-]1n2cccc2C(c2ccccc2)=C2C(c3ccccc3)=CC=[N+]12,3,0.390625,0,0.0
[B-]1n2cccc2Cc2cccn21,2,0.26041666666666663,2,2.8169014084507045
[BH2-]1[BH2-][N+]2=CC=C(c3ccccc3)C2=Cc2cccn21,2,0.26041666666666663,0,0.0
*c1cccc2ccccc12,2,0.26041666666666663,13,18.30985915492958
[BH2-]1[BH2-][N+]2=CC=CC2=Cc2cccn21,2,0.26041666666666663,0,0.0
*c1cc2ccccc2o1,2,0.26041666666666663,2,2.8169014084507045
[B-]1C2=Cc3cccn3[B-][N+]2=Cc2cccn21,2,0.26041666666666663,2,2.8169014084507045
[BH2-]1C2=CC=C(c3ccccc3)C2=Cc2cccn21,2,0.26041666666666663,0,0.0
[BH2-]1C2=Cc3cccn3[BH2-][N+]2=Cc2cccn21,2,0.26041666666666663,0,0.0
c1ccc2c(c1)ccc1ccccc12,2,0.26041666666666663,2,2.8169014084507045
c1ccc2cnccc2c1,2,0.26041666666666663,1,1.4084507042253522
c1ccc(-c2c3ccccc3cc3ccccc23)cc1,2,0.26041666666666663,2,2.8169014084507045
c1ccc2cc3c(cc2c1)c1ccccc1c1c3ccc2ccc3ccccc3c21,2,0.26041666666666663,1,1.4084507042253522
[B-]1[B-][N+]2=CC=CC2=Cc2cccn21,2,0.26041666666666663,2,2.8169014084507045
