Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment,median_score,median_score_fragment,median_score_not_fragment,molecules_with_fragment,num_atoms,diff_median_score,step
c1ccc2ccccc2c1,12,1.3986013986013985,9,7.6923076923076925,0.0003716,0.0,0.0004001,"['COC(=O)N1OC2(c3cccc4ccccc34)CCC(C1=O)C13CC(CC21)C3', 'Oc1ccc2cccc(CNCCNCc3c4ccccc4cc4ccccc34)c2c1', 'CC(=O)Nc1ccc2ccccc2c1Cc1ccc(O)c(CN(Cc2ccccn2)Cc2ccccn2)c1O', 'O=C(Nc1cc(Br)c(Br)c2c(Br)cccc12)c1ccccc1Cl', 'CCCCCCCCCCCCOc1cccc2c(OCCCCCCCCCC)cccc12', 'O=C(c1ccccc1Br)c1ccc2ccccc2c1C=CCl']",10,-0.0004001,10
*c1cccc(*)c1,6,0.6993006993006993,42,35.8974358974359,0.0003716,0.0054852500000000005,0.0002747,"['COc1ccc(OC2C(=O)c3ccccc3C=C2c2ccccc2)cc1CN(Cc1ccccc1)Cc1ccccc1', 'Cc1cc(C)c(B(c2cccc(P(c3ccccc3)c3ccccc3)c2)c2c(C)cc(C)cc2C)c(C)c1', 'Cc1c(C2OC(=O)c3ccccc32)cccc1C(c1ccccc1)c1ccccc1', 'CC[Se]C1=C(c2cc(C(=O)OC)cc(C(C)(C)C)c2O)C(C#N)(c2cc(C3=C(c4cc(CCC(=O)OC)cc(OC)c4)CCC3)sc2C#Cc2ccc(OC)c(C#Cc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)c2)CC1=O', 'CC(=O)Nc1ccc2ccccc2c1Cc1ccc(O)c(CN(Cc2ccccn2)Cc2ccccn2)c1O', 'Clc1ccc(COc2cccc(COc3ccccc3-c3cnn[nH]3)c2)cc1']",8,0.00521055,10
c1ccc2c(c1)CNC2,5,0.5827505827505828,5,4.273504273504273,0.0003716,0.0,0.0004001,"['CNC(=O)C=CN1C(=O)c2ccccc2C1(C)O', 'Cc1ccc(S(=O)(=O)N2Cc3ccccc3C2c2ccccc2)cc1', 'CP1COCC1C(=O)N1C(=O)c2ccccc2C1CC1C(CCc2ccccc2)CCCC1O[Si](C)(C)C(C)(C)C', 'O=C(Nc1ccc(O)cc1)C(=O)ON1C(=O)c2ccccc2C1=O']",9,-0.0004001,10
*c1cccc2ccccc12,4,0.4662004662004662,7,5.982905982905983,0.0003716,0.01292055,0.0003716,"['COC(=O)N1OC2(c3cccc4ccccc34)CCC(C1=O)C13CC(CC21)C3', 'Oc1ccc2cccc(CNCCNCc3c4ccccc4cc4ccccc34)c2c1', 'CC(=O)Nc1ccc2ccccc2c1Cc1ccc(O)c(CN(Cc2ccccn2)Cc2ccccn2)c1O', 'O=C(Nc1cc(Br)c(Br)c2c(Br)cccc12)c1ccccc1Cl']",11,0.01254895,10
c1ccc2c(c1)CCCC2,4,0.4662004662004662,4,3.418803418803419,0.0003716,0.0123465,0.00032315,"['CCC1(C(=O)OC)CCc2ccccc2C1(C)C#N', 'COC(=O)c1ccc(C=C2CCCc3ccc(OC)cc32)c(OC)c1', 'COc1cc(-c2ccccc2)c(OC)c2c1C1(CCCC(=O)C1)CCC2O']",10,0.01202335,10
c1ccc2cc3ccccc3cc2c1,4,0.4662004662004662,2,1.7094017094017095,0.0003716,0.0,0.0004001,"['Oc1ccc2cccc(CNCCNCc3c4ccccc4cc4ccccc34)c2c1', 'O=C(C=Cc1c2ccccc2cc2ccccc12)c1ccc(Cl)cc1']",14,-0.0004001,10
CCc1ccccc1,4,0.4662004662004662,44,37.60683760683761,0.0003716,0.0,0.0009483,"['CCOC(=O)C1c2cc(Br)ccc2O[P-](=O)(=[O+]CC)C1CCc1ccccc1', 'CP1COCC1C(=O)N1C(=O)c2ccccc2C1CC1C(CCc2ccccc2)CCCC1O[Si](C)(C)C(C)(C)C', 'CCc1ccccc1N1CC(c2ccccc2)=Nc2cccnc21', 'CC(c1ccccc1)N1C(=O)C2CC1C1C3CC(C23)C1N(Cc1ccccc1)Cc1ccccc1']",8,-0.0009483,10
c1ccc2ncccc2c1,4,0.4662004662004662,4,3.418803418803419,0.0003716,0.00362075,0.0003716,"['CC(C)P(Cc1cccc2cccnc12)C(C)(C)C', 'Cc1nc2ccccc2c(N)c1C=O']",10,0.0032491499999999997,10
c1ccc2ccccc2c1,13,1.8624641833810889,8,6.666666666666667,0.00126135,0.0284295,0.00126135,"['CC(=O)c1c(-c2ccccc2)cc2ccccc2c1C', 'COC(=O)c1ccc2cc(C)cc(C(=O)OC)c2c1C(=O)OC', 'O=C1CC(c2ccc3ccccc3c2NCCO)Nc2ccccc21', 'c1ccc2cc(CC34CCC(CC3)c3cc5ccccc5c5cccc4c35)ccc2c1', 'c1ccc(-c2ccc3ccccc3c2-c2ccc3ccccc3c2)cc1', 'CC1=[S+]C(=C2C(=C(C)[O-])C(=C(C=Cc3cccc4ccccc34)c3ccccc3)S[S-]2C)[S+]=C1[O-]']",10,0.02716815,20
c1ccc2ncccc2c1,6,0.8595988538681949,5,4.166666666666666,0.00126135,0.0,0.0020487,"['OCCOc1cccc2ncccc12', 'C#Cc1ccc(-c2c(N(C)C)c(C#N)nc3ccccc23)cc1', 'O=C(C=Cc1cccc(Br)c1)c1cnc2ccccc2c1']",10,-0.0020487,20
