Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment,median_score,median_score_fragment,median_score_not_fragment,molecules_with_fragment,num_atoms,diff_median_score,step
O,72,19.88950276243094,95,81.19658119658119,0.0003716,0.00032315,0.0004001,"['COc1ccc2c(=O)c(C3(C)C(Br)C(C(=O)O)C3c3ccco3)coc2c1', 'COc1ccc(OC2C(=O)c3ccccc3C=C2c2ccccc2)cc1CN(Cc1ccccc1)Cc1ccccc1', 'CC1=CC(=O)C2C3CC(O3)C2(C)CC(C)C=CCC1', 'CCn1c(-c2ccc(C(=O)c3ccc(OC)cc3)cc2)nc2ccc(-c3ccc(Br)cc3Br)cc21', 'CC(=O)NC(=O)OC1C(C)CCC2OC23CCC(C)C24CCC=C(C)C23C1O4', 'CCOc1ccc(C=NNC(=O)c2ccccc2O)c(O)c1', 'O=c1cnn(C2OC(CO)C(O)C2O)c(=O)[nH]1', 'CCOc1ccccc1C1C(c2ccc(OC)cc2)C12C(=O)N(C(c1ccccc1)c1ccccc1)c1ccccc12', 'Cc1ccc2cc(C(N)=O)c(=O)oc2c1Br', 'Oc1ccc2cccc(CNCCNCc3c4ccccc4cc4ccccc34)c2c1', 'O=C1N(c2ccccc2)CCN1C1CC1Oc1ccc(F)cc1', 'COCC(=C(Cl)c1ccccc1)c1ccco1', 'CP1COCC1C(=O)N1C(=O)c2ccccc2C1CC1C(CCc2ccccc2)CCCC1O[Si](C)(C)C(C)(C)C', 'COC(=O)C12CC1C(C)(O)C(Cl)CC2Cl', 'CC(NC(=O)c1ccc(Br)cc1)C(C)(O)C(=O)c1ccc(Br)cc1', 'OC1C2C=CN(CC2)C1Cc1ccc(Cl)cc1', 'CC[Se]C1=C(c2cc(C(=O)OC)cc(C(C)(C)C)c2O)C(C#N)(c2cc(C3=C(c4cc(CCC(=O)OC)cc(OC)c4)CCC3)sc2C#Cc2ccc(OC)c(C#Cc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)c2)CC1=O', 'CCOC(=O)C12COCOC1C1C(C)C(O[Si](C)(C)C(C)(C)C)C3OC1C(C)C(C)CCC32C', 'CC1(C)C2CCC1C1(OCc3ccccc3)C(=O)c3ccccc3C21', 'FC1C2c3ccccc3C3OC4CCCC4c4cccc(c4OCc4ccccn4)Cc4cccc(c4OCc4ccccn4)C3C12', 'O=C(Nc1ccc(O)cc1)C(=O)ON1C(=O)c2ccccc2C1=O', 'CC(=O)Nc1ccc2ccccc2c1Cc1ccc(O)c(CN(Cc2ccccn2)Cc2ccccn2)c1O', 'Clc1ccc(COc2cccc(COc3ccccc3-c3cnn[nH]3)c2)cc1', 'C#CC1(COC(=O)C(C)(C)C)CC(C(CO)NC(C)(C)C)C(COC(=O)c2ccc([N+](=O)[O-])cc2)O1', 'COC(=O)c1ccc(C=C2CCCc3ccc(OC)cc32)c(OC)c1', 'Clc1cccc(C2COc3c(Cl)c(Cl)c(Cl)c(Cl)c3O2)c1', 'CC1=C2CC3(C)Oc4ccc(C)cc4C(=O)C3C2(C)N(C)C1=O', 'N#CC1CCC(c2ccccc2)O1', 'CCOC(=O)c1c(OC)cc(OC)cc1OC', 'COc1ccc(-c2oc(=O)c(-c3ccccc3)cc2-c2cccc(OC)c2OC)cc1OC', 'CCCCCCCCCCCCOc1cccc2c(OCCCCCCCCCC)cccc12', 'OCC1OC(OC2OC(CO)C(O)C3OC23)C(O)C(O)C1O', 'CCN(CC)c1ccc(C=NN=Cc2ccc(N(C)C)cc2)c(O)c1', 'COc1cc(-c2ccccc2)c(OC)c2c1C1(CCCC(=O)C1)CCC2O', 'Cc1ccc(NS(=O)(=O)c2ccccc2O)cc1', 'CC1=C(Cl)C(=O)c2c(occc2=O)C1=O', 'O=C1C2CC(=O)C3(OCC13)c1c(-c3ccccc3)nc3ccccc3c12', 'OCc1nc2ccccc2[nH]1']",1,-7.695e-05,10
n,25,6.906077348066299,26,22.22222222222222,0.0003716,0.0020243,0.0002707,"['Cc1c[s+]c(-c2cncc(-c3ccc(C)c(-c4n[n-]c(-c5ccccn5)[s+]4)n3)c2)[n-]1', 'CC(C)P(Cc1cccc2cccnc12)C(C)(C)C', 'c1ccc(SCCCSc2nnnc(-n3cccn3)n2)nc1', 'CC(C)n1ccc2cc([N+](=O)[O-])ccc21', 'CCn1c(-c2ccc(C(=O)c3ccc(OC)cc3)cc2)nc2ccc(-c3ccc(Br)cc3Br)cc21', 'N#Cc1cnc2ccc3c(-c4ccccc4)c4ccccc4nc3c2c1-c1ccccc1', 'Cc1nn(-c2ccccc2[N+](=O)[O-])nc1-c1ccc(C(=O)O)nc1', 'CCc1ccccc1N1CC(c2ccccc2)=Nc2cccnc21', 'FC1C2c3ccccc3C3OC4CCCC4c4cccc(c4OCc4ccccn4)Cc4cccc(c4OCc4ccccn4)C3C12', 'CC(=O)Nc1ccc2ccccc2c1Cc1ccc(O)c(CN(Cc2ccccn2)Cc2ccccn2)c1O', 'Cc1n[nH]c(=S)n1Cc1cccc(C23N=[O+]C2[N-]3)n1', 'Cc1nc2ccccc2c(N)c1C=O', 'CC1=NB(C(C#N)=Cc2ccccc2)N(c2cccnc2)[B-](c2ccccc2)(c2ccccc2)O1', 'COC(=O)c1cccc2nc(-c3ccccc3)n3occ3c12', 'O=C1C2CC(=O)C3(OCC13)c1c(-c3ccccc3)nc3ccccc3c12', 'S=c1sc2c(Cl)c(Cl)c(Cl)c(Cl)c2n1Cc1ccccc1', 'OCc1nc2ccccc2[nH]1']",1,0.0017536000000000001,10
F,21,5.801104972375691,10,8.547008547008547,0.0003716,0.0020612,0.0002747,"['O=C1C2CN3CCN1c1ccccc1C(C(F)(F)F)OC2(Nc1ccc(Br)cc1)CC3', 'O=S(=O)(O[C-]=C(c1ccccc1)C(F)(Br)c1ccccc1)C(F)(F)F', 'Fc1ccc([P-](#[S+])(c2ccccc2)C2CCCC2)cc1', 'O=COc1ccc(F)cc1C=Nc1ccc(F)cc1', 'CC(=O)Nc1ccccc1C(=O)C(C)(C)F', 'O=C1N(c2ccccc2)CCN1C1CC1Oc1ccc(F)cc1', 'O=S1(=O)N=C(c2ccccc2)C(F)(F)c2cc(Br)ccc21', 'FC1C2c3ccccc3C3OC4CCCC4c4cccc(c4OCc4ccccn4)Cc4cccc(c4OCc4ccccn4)C3C12', 'C=C(C(Cl)(N(Cc1ccccc1)S(=O)(=O)c1ccc(C)cc1)C(F)(F)F)S(=O)(=O)c1ccccc1', 'CCCN1c2ccccc2[S+]=C([O-])N(Cc2ccc(C(F)(F)F)cc2)S1(=O)=O']",1,0.0017865,10
O=CO,21,5.801104972375691,23,19.65811965811966,0.0003716,0.0,0.0009483,"['CCOC(=O)C1c2cc(Br)ccc2O[P-](=O)(=[O+]CC)C1CCc1ccccc1', 'COc1ccc2c(=O)c(C3(C)C(Br)C(C(=O)O)C3c3ccco3)coc2c1', 'C=C(C(C)=O)C(c1ccccc1)N(c1ccc(C(=O)OC)cc1)S(=O)(=O)c1ccc(C)cc1', 'O=COc1ccc(F)cc1C=Nc1ccc(F)cc1', 'COC(=O)C1C(C#N)c2cc3ccccc3cc2C1OC(=O)C(C)(C)C', 'Cc1c(C2OC(=O)c3ccccc32)cccc1C(c1ccccc1)c1ccccc1', 'Cc1nn(-c2ccccc2[N+](=O)[O-])nc1-c1ccc(C(=O)O)nc1', 'COC(=O)C12CC1C(C)(O)C(Cl)CC2Cl', 'CC[Se]C1=C(c2cc(C(=O)OC)cc(C(C)(C)C)c2O)C(C#N)(c2cc(C3=C(c4cc(CCC(=O)OC)cc(OC)c4)CCC3)sc2C#Cc2ccc(OC)c(C#Cc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)c2)CC1=O', 'CCC1(C(=O)OC)CCc2ccccc2C1(C)C#N', 'CCOC(=O)C12COCOC1C1C(C)C(O[Si](C)(C)C(C)(C)C)C3OC1C(C)C(C)CCC32C', 'C#CC1(COC(=O)C(C)(C)C)CC(C(CO)NC(C)(C)C)C(COC(=O)c2ccc([N+](=O)[O-])cc2)O1', 'CC(C)(C)C(OC(=O)c1ccccc1)C(C)(Cc1ccccc1)c1ccccc1', 'COC(=O)c1ccc(C=C2CCCc3ccc(OC)cc32)c(OC)c1', 'CCOC(=O)C1C(c2ccc([N+](=O)[O-])cc2)C(=NC(N)=O)N(O)C1C', 'CCOC(=O)c1c(OC)cc(OC)cc1OC', 'COC(=O)c1cccc2nc(-c3ccccc3)n3occ3c12', 'O=C(O)c1ccc(-c2ccccc2)cc1']",3,-0.0009483,10
Cl,19,5.248618784530387,14,11.965811965811966,0.0003716,0.0006682999999999999,0.0003716,"['O=C(C=Cc1c2ccccc2cc2ccccc12)c1ccc(Cl)cc1', 'COC(=O)C12CC1C(C)(O)C(Cl)CC2Cl', 'OC1C2C=CN(CC2)C1Cc1ccc(Cl)cc1', 'Clc1ccc(COc2cccc(COc3ccccc3-c3cnn[nH]3)c2)cc1', 'C=C(C(Cl)(N(Cc1ccccc1)S(=O)(=O)c1ccc(C)cc1)C(F)(F)F)S(=O)(=O)c1ccccc1', 'Clc1cccc(C2COc3c(Cl)c(Cl)c(Cl)c(Cl)c3O2)c1', 'O=C(Nc1cc(Br)c(Br)c2c(Br)cccc12)c1ccccc1Cl', 'Clc1cccc(C(=CNc2ccccc2)c2ccccc2)c1Cl', 'CC(C)(C)OC(=O)N1C(C(c2ccccc2)C2(C)C(=O)N(Cc3ccccc3)c3cc(Cl)ccc32)=C2CCC1C1OC(C)(C)OC1C2', 'S=c1sc2c(Cl)c(Cl)c(Cl)c(Cl)c2n1Cc1ccccc1']",1,0.00029669999999999995,10
NC=O,16,4.41988950276243,27,23.076923076923077,0.0003716,0.0,0.0007691999999999999,"['O=C1NC2CCC2(Cc2ccccc2)C1c1ccccc1', 'O=C1C2CN3CCN1c1ccccc1C(C(F)(F)F)OC2(Nc1ccc(Br)cc1)CC3', 'CC(=O)NCC(N)=O', 'CCOc1ccccc1C1C(c2ccc(OC)cc2)C12C(=O)N(C(c1ccccc1)c1ccccc1)c1ccccc12', 'Cc1ccc2cc(C(N)=O)c(=O)oc2c1Br', 'CN1CCN(N=Nc2ccccc2Br)CC1=O', 'CC(=O)Nc1ccccc1C(=O)C(C)(C)F', 'CN(C)C(=O)C1CCC2C(C1)C1CCc3ccccc3N2O1', 'CC(NC(=O)c1ccc(Br)cc1)C(C)(O)C(=O)c1ccc(Br)cc1', 'C=C(C)CC1c2cc3ccccc3cc2C2CCCC(=O)N21', 'CC(=O)Nc1ccc2ccccc2c1Cc1ccc(O)c(CN(Cc2ccccn2)Cc2ccccn2)c1O', 'O=C(Nc1cc(Br)c(Br)c2c(Br)cccc12)c1ccccc1Cl', 'CC(c1ccccc1)N1C(=O)C2CC1C1C3CC(C23)C1N(Cc1ccccc1)Cc1ccccc1', 'CC(C)(C)OC(=O)N1C(C(c2ccccc2)C2(C)C(=O)N(Cc3ccccc3)c3cc(Cl)ccc32)=C2CCC1C1OC(C)(C)OC1C2', 'NC(=O)c1ccc(N)cc1']",3,-0.0007691999999999999,10
Br,16,4.41988950276243,12,10.256410256410255,0.0003716,0.0095788,0.0002747,"['CCOC(=O)C1c2cc(Br)ccc2O[P-](=O)(=[O+]CC)C1CCc1ccccc1', 'COc1ccc2c(=O)c(C3(C)C(Br)C(C(=O)O)C3c3ccco3)coc2c1', 'O=C1C2CN3CCN1c1ccccc1C(C(F)(F)F)OC2(Nc1ccc(Br)cc1)CC3', 'O=S(=O)(O[C-]=C(c1ccccc1)C(F)(Br)c1ccccc1)C(F)(F)F', 'CCn1c(-c2ccc(C(=O)c3ccc(OC)cc3)cc2)nc2ccc(-c3ccc(Br)cc3Br)cc21', 'Cc1ccc2cc(C(N)=O)c(=O)oc2c1Br', 'CN1CCN(N=Nc2ccccc2Br)CC1=O', 'O=S1(=O)N=C(c2ccccc2)C(F)(F)c2cc(Br)ccc21', 'CC(NC(=O)c1ccc(Br)cc1)C(C)(O)C(=O)c1ccc(Br)cc1', 'O=C(Nc1cc(Br)c(Br)c2c(Br)cccc12)c1ccccc1Cl', 'O=C(c1ccccc1Br)c1ccc2ccccc2c1C=CCl', 'CC1(C)CC(=Cc2ccccc2)C(=O)C(=Cc2ccc(Br)cc2)C1']",1,0.009304100000000001,10
C=O,16,4.41988950276243,61,52.13675213675214,0.0003716,0.0,0.0004001,"['COc1ccc(OC2C(=O)c3ccccc3C=C2c2ccccc2)cc1CN(Cc1ccccc1)Cc1ccccc1', 'CCn1c(-c2ccc(C(=O)c3ccc(OC)cc3)cc2)nc2ccc(-c3ccc(Br)cc3Br)cc21', 'CC(=O)C12CCC(C1)C(C)(C)C2=O', 'CC(=O)Nc1ccccc1C(=O)C(C)(C)F', 'CCOP(=O)(OCC)C(c1ccccc1)C1C(C(C)=O)C1c1ccccc1', 'CC(=O)c1nn2c3c1C1(CC3(C)C(=O)N(C)C1=O)c1ccccc1-c1ccccc1-2', 'CC(NC(=O)c1ccc(Br)cc1)C(C)(O)C(=O)c1ccc(Br)cc1', 'CC1(C)C2CCC1C1(OCc3ccccc3)C(=O)c3ccccc3C21', 'CC1=C2CC3(C)Oc4ccc(C)cc4C(=O)C3C2(C)N(C)C1=O', 'Cc1nc2ccccc2c(N)c1C=O', 'CC(=O)C12OC(c3ccccc3)=CC1OC1=C(C(=O)CC(C)(C)C1)C2c1ccccc1', 'O=C(c1ccccc1Br)c1ccc2ccccc2c1C=CCl', 'COc1cc(-c2ccccc2)c(OC)c2c1C1(CCCC(=O)C1)CCC2O', 'O=C1C2CC(=O)C3(OCC13)c1c(-c3ccccc3)nc3ccccc3c12']",2,-0.0004001,10
N,13,3.591160220994475,69,58.97435897435898,0.0003716,0.0,0.00105755,"['COc1ccc(OC2C(=O)c3ccccc3C=C2c2ccccc2)cc1CN(Cc1ccccc1)Cc1ccccc1', 'O=C1C2CN3CCN1c1ccccc1C(C(F)(F)F)OC2(Nc1ccc(Br)cc1)CC3', 'Oc1ccc2cccc(CNCCNCc3c4ccccc4cc4ccccc34)c2c1', 'CCc1ccccc1N1CC(c2ccccc2)=Nc2cccnc21', 'CCc1c(C)nn(CCCN)c1C', 'CC(=O)Nc1ccc2ccccc2c1Cc1ccc(O)c(CN(Cc2ccccn2)Cc2ccccn2)c1O', 'C#CC1(COC(=O)C(C)(C)C)CC(C(CO)NC(C)(C)C)C(COC(=O)c2ccc([N+](=O)[O-])cc2)O1', 'Cc1nc2ccccc2c(N)c1C=O', 'CCN(CC)c1ccc(C=NN=Cc2ccc(N(C)C)cc2)c(O)c1', 'CC(c1ccccc1)N1C(=O)C2CC1C1C3CC(C23)C1N(Cc1ccccc1)Cc1ccccc1', 'NC(=O)c1ccc(N)cc1']",1,-0.00105755,10
C=C,9,2.4861878453038675,29,24.786324786324787,0.0003716,7.68e-05,0.00038585,"['COc1ccc(OC2C(=O)c3ccccc3C=C2c2ccccc2)cc1CN(Cc1ccccc1)Cc1ccccc1', 'CC1=CC(=O)C2C3CC(O3)C2(C)CC(C)C=CCC1', 'C=CC(CC(C#N)S(=O)(=O)c1ccccc1)c1ccccc1', 'CC(=O)NC(=O)OC1C(C)CCC2OC23CCC(C)C24CCC=C(C)C23C1O4', 'CC[Se]C1=C(c2cc(C(=O)OC)cc(C(C)(C)C)c2O)C(C#N)(c2cc(C3=C(c4cc(CCC(=O)OC)cc(OC)c4)CCC3)sc2C#Cc2ccc(OC)c(C#Cc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)c2)CC1=O', 'C=C(C)CC1c2cc3ccccc3cc2C2CCCC(=O)N21', 'C=C1CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC12C', 'COC(=O)c1ccc(C=C2CCCc3ccc(OC)cc32)c(OC)c1', 'O=S1(=O)OCCCC2C=CCN21']",2,-0.00030904999999999995,10
