Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment
[B-](F)(F),18,0.4875406283856988,18,25.352112676056336
(c3ccccc3),12,0.3250270855904659,11,15.492957746478872
C(c3ccccc3,11,0.2979414951245937,10,14.084507042253522
B-](F)(F)n,10,0.27085590465872156,10,14.084507042253522
F[B-]1(F)C,9,0.2437703141928494,9,12.676056338028168
F[B-]1(F)n,9,0.2437703141928494,9,12.676056338028168
[B-]1(F)n2,9,0.2437703141928494,9,12.676056338028168
B-]1(F)n2c,9,0.2437703141928494,9,12.676056338028168
[B-]1(F)C2,8,0.21668472372697722,8,11.267605633802818
c3ccccc3)=,8,0.21668472372697722,7,9.859154929577464
B-]1(F)C2=,8,0.21668472372697722,8,11.267605633802818
-]1(F)C2=C,8,0.21668472372697722,8,11.267605633802818
=C2C(c3ccc,7,0.18959913326110509,7,9.859154929577464
c3ccccc32),7,0.18959913326110509,7,9.859154929577464
c3cccn3[B-,7,0.18959913326110509,7,9.859154929577464
3cccn3[B-],7,0.18959913326110509,7,9.859154929577464
c1ccc(C2=C,7,0.18959913326110509,7,9.859154929577464
3[B-](F)(F,7,0.18959913326110509,7,9.859154929577464
C2=C(c2ccc,7,0.18959913326110509,7,9.859154929577464
](F)(F)n3c,6,0.16251354279523295,6,8.450704225352112
3)c3cccn3[,6,0.16251354279523295,6,8.450704225352112
)c3cccn3[B,6,0.16251354279523295,6,8.450704225352112
[B-]3(F)F),6,0.16251354279523295,6,8.450704225352112
2C(=C(c3cc,6,0.16251354279523295,6,8.450704225352112
-](F)(F)n3,6,0.16251354279523295,6,8.450704225352112
c2ccc(Cl)c,6,0.16251354279523295,6,8.450704225352112
C2c3ccccc3,6,0.16251354279523295,6,8.450704225352112
=C2c3ccccc,6,0.16251354279523295,6,8.450704225352112
-]1(F)n2cc,6,0.16251354279523295,6,8.450704225352112
C2C(c3cccc,5,0.13542795232936078,5,7.042253521126761
cc(Cl)cc2),5,0.13542795232936078,5,7.042253521126761
)[B-](F)(F,5,0.13542795232936078,5,7.042253521126761
(F)n2cccc2,5,0.13542795232936078,5,7.042253521126761
)C2=C(c2cc,5,0.13542795232936078,5,7.042253521126761
cc3ccccc3c,5,0.13542795232936078,4,5.633802816901409
]1(F)C2=C(,5,0.13542795232936078,5,7.042253521126761
ccc(Cl)cc2,5,0.13542795232936078,5,7.042253521126761
=[N+]2[B-],5,0.13542795232936078,5,7.042253521126761
)=[N+]2[B-,5,0.13542795232936078,5,7.042253521126761
cc32)c2ccc,5,0.13542795232936078,5,7.042253521126761
c3ccccc23),5,0.13542795232936078,4,5.633802816901409
c(Cl)c(Cl),5,0.13542795232936078,4,5.633802816901409
2ccc(Cl)cc,5,0.13542795232936078,5,7.042253521126761
2[B-]1(F)F,5,0.13542795232936078,5,7.042253521126761
(F)(F)n3cc,5,0.13542795232936078,5,7.042253521126761
