Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment,median_score,median_score_fragment,median_score_not_fragment,molecules_with_fragment,diff_median_score,step
C(c1ccccc1,10,0.2513826043237808,10,8.547008547008547,0.0003716,0.0,0.0012603,"['CC(=C(c1ccccc1)N(C)c1ccccc1)c1ccccc1', 'C=C(C(C)=O)C(c1ccccc1)N(c1ccc(C(=O)OC)cc1)S(=O)(=O)c1ccc(C)cc1', 'O=S(=O)(O[C-]=C(c1ccccc1)C(F)(Br)c1ccccc1)C(F)(F)F', 'CCOc1ccccc1C1C(c2ccc(OC)cc2)C12C(=O)N(C(c1ccccc1)c1ccccc1)c1ccccc12', 'CCOP(=O)(OCC)C(c1ccccc1)C1C(C(C)=O)C1c1ccccc1', 'Cc1c(C2OC(=O)c3ccccc32)cccc1C(c1ccccc1)c1ccccc1', 'CC(C)OC(=O)C(C#N)=C(c1ccccc1)N(Cc1ccccc1)Cc1ccccc1', 'C=C=C1C2CN1S(=O)(=O)C(c1ccccc1)C1(C)CCCC21', 'CC(c1ccccc1)N1C(=O)C2CC1C1C3CC(C23)C1N(Cc1ccccc1)Cc1ccccc1', 'O=C(c1ccccc1Br)c1ccc2ccccc2c1C=CCl']",-0.0012603,10
(c2ccccc2),10,0.2513826043237808,8,6.837606837606838,0.0003716,0.00112555,0.0003716,"['Fc1ccc([P-](#[S+])(c2ccccc2)C2CCCC2)cc1', 'O=C1N(c2ccccc2)CCN1C1CC1Oc1ccc(F)cc1', 'c1ccc(-c2cc(-c3ccccc3)c3c(c2-c2ccccc2)[Si](c2ccccc2)(c2ccccc2)c2ccccc2-3)cc1', 'O=S1(=O)N=C(c2ccccc2)C(F)(F)c2cc(Br)ccc21', 'CCc1ccccc1N1CC(c2ccccc2)=Nc2cccnc21', 'N#CC1CCC(c2ccccc2)O1', 'CC1=NB(C(C#N)=Cc2ccccc2)N(c2cccnc2)[B-](c2ccccc2)(c2ccccc2)O1', 'CC(C)(C)OC(=O)N1C(C(c2ccccc2)C2(C)C(=O)N(Cc3ccccc3)c3cc(Cl)ccc32)=C2CCC1C1OC(C)(C)OC1C2']",0.00075395,10
(c1ccccc1),9,0.22624434389140274,9,7.6923076923076925,0.0003716,0.0,0.0012135499999999999,"['CC(=C(c1ccccc1)N(C)c1ccccc1)c1ccccc1', 'C=C(C(C)=O)C(c1ccccc1)N(c1ccc(C(=O)OC)cc1)S(=O)(=O)c1ccc(C)cc1', 'O=S(=O)(O[C-]=C(c1ccccc1)C(F)(Br)c1ccccc1)C(F)(F)F', 'CCOc1ccccc1C1C(c2ccc(OC)cc2)C12C(=O)N(C(c1ccccc1)c1ccccc1)c1ccccc12', 'CCOP(=O)(OCC)C(c1ccccc1)C1C(C(C)=O)C1c1ccccc1', 'Cc1c(C2OC(=O)c3ccccc32)cccc1C(c1ccccc1)c1ccccc1', 'CC(C)OC(=O)C(C#N)=C(c1ccccc1)N(Cc1ccccc1)Cc1ccccc1', 'C=C=C1C2CN1S(=O)(=O)C(c1ccccc1)C1(C)CCCC21', 'CC(c1ccccc1)N1C(=O)C2CC1C1C3CC(C23)C1N(Cc1ccccc1)Cc1ccccc1']",-0.0012135499999999999,10
c1ccccc1)C,8,0.20110608345902461,7,5.982905982905983,0.0003716,0.0,0.00105755,"['COc1ccc(OC2C(=O)c3ccccc3C=C2c2ccccc2)cc1CN(Cc1ccccc1)Cc1ccccc1', 'O=S(=O)(O[C-]=C(c1ccccc1)C(F)(Br)c1ccccc1)C(F)(F)F', 'CCOP(=O)(OCC)C(c1ccccc1)C1C(C(C)=O)C1c1ccccc1', 'CC(C)OC(=O)C(C#N)=C(c1ccccc1)N(Cc1ccccc1)Cc1ccccc1', 'CC(C)(C)C(OC(=O)c1ccccc1)C(C)(Cc1ccccc1)c1ccccc1', 'C=C=C1C2CN1S(=O)(=O)C(c1ccccc1)C1(C)CCCC21', 'CC(c1ccccc1)N1C(=O)C2CC1C1C3CC(C23)C1N(Cc1ccccc1)Cc1ccccc1']",-0.00105755,10
c2ccccc2)C,8,0.20110608345902461,8,6.837606837606838,0.0003716,0.0022802,0.0001698,"['O=C1NC2CCC2(Cc2ccccc2)C1c1ccccc1', 'Fc1ccc([P-](#[S+])(c2ccccc2)C2CCCC2)cc1', 'O=C1N(c2ccccc2)CCN1C1CC1Oc1ccc(F)cc1', 'O=S1(=O)N=C(c2ccccc2)C(F)(F)c2cc(Br)ccc21', 'CP1COCC1C(=O)N1C(=O)c2ccccc2C1CC1C(CCc2ccccc2)CCCC1O[Si](C)(C)C(C)(C)C', 'CC1(C)CC(=O)C(=NNc2ccccc2)C(=O)C1', 'CC1(C)CC(=Cc2ccccc2)C(=O)C(=Cc2ccc(Br)cc2)C1', 'CC(C)(C)OC(=O)N1C(C(c2ccccc2)C2(C)C(=O)N(Cc3ccccc3)c3cc(Cl)ccc32)=C2CCC1C1OC(C)(C)OC1C2']",0.0021104,10
c1ccccc1)c,7,0.17596782302664657,6,5.128205128205128,0.0003716,0.0,0.0009483,"['CC(=C(c1ccccc1)N(C)c1ccccc1)c1ccccc1', 'C=CC(CC(C#N)S(=O)(=O)c1ccccc1)c1ccccc1', 'CCOc1ccccc1C1C(c2ccc(OC)cc2)C12C(=O)N(C(c1ccccc1)c1ccccc1)c1ccccc12', 'Cc1c(C2OC(=O)c3ccccc32)cccc1C(c1ccccc1)c1ccccc1', 'COCC(=C(Cl)c1ccccc1)c1ccco1', 'CC(C)(C)C(OC(=O)c1ccccc1)C(C)(Cc1ccccc1)c1ccccc1']",-0.0009483,10
c2ccccc2)c,7,0.17596782302664657,6,5.128205128205128,0.0003716,0.0072847,0.0001698,"['COc1ccc(OC2C(=O)c3ccccc3C=C2c2ccccc2)cc1CN(Cc1ccccc1)Cc1ccccc1', 'Cc1ccc(S(=O)(=O)N2Cc3ccccc3C2c2ccccc2)cc1', 'c1ccc(-c2cc(-c3ccccc3)c3c(c2-c2ccccc2)[Si](c2ccccc2)(c2ccccc2)c2ccccc2-3)cc1', 'Clc1cccc(C(=CNc2ccccc2)c2ccccc2)c1Cl', 'COc1cc(-c2ccccc2)c(OC)c2c1C1(CCCC(=O)C1)CCC2O', 'O=C(O)c1ccc(-c2ccccc2)cc1']",0.0071148999999999995,10
1)c1ccccc1,7,0.17596782302664657,6,5.128205128205128,0.0003716,0.0,0.0009483,"['CC(=C(c1ccccc1)N(C)c1ccccc1)c1ccccc1', 'C=CC(CC(C#N)S(=O)(=O)c1ccccc1)c1ccccc1', 'CCC(C)(B1OC(C2(c3ccccc3)N(Cc3ccccc3)CCN2c2ccccc2)=Cc2ccccc21)c1ccccc1', 'CCOc1ccccc1C1C(c2ccc(OC)cc2)C12C(=O)N(C(c1ccccc1)c1ccccc1)c1ccccc12', 'Cc1c(C2OC(=O)c3ccccc32)cccc1C(c1ccccc1)c1ccccc1', 'CC(C)(C)C(OC(=O)c1ccccc1)C(C)(Cc1ccccc1)c1ccccc1']",-0.0009483,10
ccc1)c1ccc,7,0.17596782302664657,6,5.128205128205128,0.0003716,0.0,0.0009483,"['CC(=C(c1ccccc1)N(C)c1ccccc1)c1ccccc1', 'C=CC(CC(C#N)S(=O)(=O)c1ccccc1)c1ccccc1', 'CCOc1ccccc1C1C(c2ccc(OC)cc2)C12C(=O)N(C(c1ccccc1)c1ccccc1)c1ccccc12', 'Cc1c(C2OC(=O)c3ccccc32)cccc1C(c1ccccc1)c1ccccc1', 'COCC(=C(Cl)c1ccccc1)c1ccco1', 'CC(C)(C)C(OC(=O)c1ccccc1)C(C)(Cc1ccccc1)c1ccccc1']",-0.0009483,10
cccc1)c1cc,7,0.17596782302664657,6,5.128205128205128,0.0003716,0.0,0.0009483,"['CC(=C(c1ccccc1)N(C)c1ccccc1)c1ccccc1', 'C=CC(CC(C#N)S(=O)(=O)c1ccccc1)c1ccccc1', 'CCOc1ccccc1C1C(c2ccc(OC)cc2)C12C(=O)N(C(c1ccccc1)c1ccccc1)c1ccccc12', 'Cc1c(C2OC(=O)c3ccccc32)cccc1C(c1ccccc1)c1ccccc1', 'COCC(=C(Cl)c1ccccc1)c1ccco1', 'CC(C)(C)C(OC(=O)c1ccccc1)C(C)(Cc1ccccc1)c1ccccc1']",-0.0009483,10
