Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment
C1=C(c2ccccc2)C2=C(c3ccccc3)c3cccc3[CH-][C+]2=C1c1ccccc1,3,4.225352112676056,0,0.0
C=C1C(=C2Cc3ccccc3[CH-]c3cccc32)Cc2c1ccc1ccccc21,1,1.4084507042253522,0,0.0
C1=CC(=C2c3cccc3[CH-]c3cccc32)[C+](c2ccccc2)=C1,1,1.4084507042253522,0,0.0
C1=C2[CH-]c3cccc3C(c3ccccc3)=C2C(c2ccccc2)=C1c1ccccc1,1,1.4084507042253522,0,0.0
C=C1CC(c2ccccc2)=C2C(c3ccccc3)=C(c3ccccc3)c3ccccc3C12,1,1.4084507042253522,0,0.0
C1=C2[CH-]c3cccc3C(c3ccccc3)=C2C=C1c1cccc1,1,1.4084507042253522,0,0.0
C1=CC(=C2c3cccc3[CH-][C+]2=C2c3ccccc3C=[C+]2c2cccc2)c2cccc2[CH-]1,1,1.4084507042253522,0,0.0
C1=[C+]2C3=C(c4ccccc4)[CH-]C(c4ccccc4)=C3C(c3ccccc3)(c3ccccc3)C2=C1c1ccccc1,1,1.4084507042253522,0,0.0
c1ccc(C2=C3[CH-]c4cccc4C(c4ccccc4)=[C+]3[CH-]c3cccc32)cc1,1,1.4084507042253522,0,0.0
C=C1C=CC(c2ccccc2)=CC1=Cc1ccccc1,1,1.4084507042253522,0,0.0
C=C1CC=CC(=C2C=Cc3ccccc32)C1,1,1.4084507042253522,0,0.0
C(=Cc1cccc2ccccc12)c1ccccc1,1,1.4084507042253522,4,5.633802816901409
C=C(=C)(c1ccccc1)c1ccc2c3c(ccc12)C(=C1c2ccccc2-c2ccccc21)C=C3,1,1.4084507042253522,0,0.0
[C+]=C1C=CC=C2[CH-]c3c(cc(-c4ccccc4)c3-c3ccccc3)C(c3ccccc3)=C12,1,1.4084507042253522,0,0.0
C1=C(c2ccccc2)C2=Cc3cccc3[CH-][CH-][C+]2=C1,1,1.4084507042253522,0,0.0
C=C1Cc2ccc3ccccc3c2C1=c1c2ccccc2c(=C)c2cccc12,1,1.4084507042253522,0,0.0
C=c1cc2ccccc2cc1-c1cccc2ccccc12,1,1.4084507042253522,0,0.0
c1ccc(C2=C3[CH-]c4cccc4C(c4ccc(-c5cccc5)c4)=C3[CH-]c3cccc32)c1,1,1.4084507042253522,0,0.0
C1=C2[CH-]c3cccc3C(c3ccccc3)=C2[CH-]c2cccc21,1,1.4084507042253522,0,0.0
C=C1c2cc3ccccc3cc2C(=Cc2cc3ccccc3c2)C1c1ccccc1,1,1.4084507042253522,0,0.0
[C+]1=CC=CC1=C1c2ccccc2[CH-]c2cccc21,1,1.4084507042253522,0,0.0
C=C1C2=C(c3ccccc3)[C+](=C2c2ccccc2)[CH-]c2cccc21,1,1.4084507042253522,0,0.0
C1=C2[CH-]c3cccc3C(c3ccccc3)=C1C(c1cccc1)=C2c1ccccc1,1,1.4084507042253522,0,0.0
c1ccc(C2=C(C3=C(c4cccc4)c4ccccc4C3=C3c4ccccc4[CH-]c4cccc43)[C+](=C3c4ccccc4-c4ccccc43)[CH-]c3cccc32)cc1,1,1.4084507042253522,0,0.0
[C+]1=Cc2ccccc2C1=c1c[c+]2c(c1-c1ccccc1)=Cc1cccc1[CH-]2,1,1.4084507042253522,0,0.0
c1ccc(C2=C3[CH-]c4cccc4C(c4cccc4)=C3[CH-]c3cccc32)c1,1,1.4084507042253522,0,0.0
C1=C(c2ccccc2)C2=C(c3cc4ccccc4c3)c3cccc3[CH-][C+]2=C1c1ccccc1,1,1.4084507042253522,0,0.0
C1=C(c2ccccc2)C2=C(c3ccccc3)c3cccc3[CH-]C2c2ccccc21,1,1.4084507042253522,0,0.0
C1=CC2=C(c3ccccc3)c3cccc3[CH-]C2=C1,1,1.4084507042253522,0,0.0
c1ccc(-c2c3ccccc3cc3ccccc23)cc1,1,1.4084507042253522,2,2.8169014084507045
C=C1CC(=C(c2cccc2)c2ccccc2Cc2ccccc2)c2ccccc21,1,1.4084507042253522,0,0.0
C=C1[C+]=C(c2ccccc2)C(c2ccccc2)=C1c1ccccc1,1,1.4084507042253522,0,0.0
C=C1Cc2ccccc2C1=C1c2ccccc2C(=C)c2ccccc21,1,1.4084507042253522,0,0.0
C=C1C=C(c2ccccc2)CC(c2ccccc2)C1=CC(=C)c1ccccc1,1,1.4084507042253522,0,0.0
C=[C+]1CC(c2ccccc2)=CC1=C[C-]c1ccccc1,1,1.4084507042253522,0,0.0
c1ccc(C2=[C+]3[CH-]c4cccc4C(c4cccc4)=C3c3ccccc32)cc1,1,1.4084507042253522,0,0.0
[C+]=C1C=CC(=c2ccc(-c3ccccc3)[c+]3c2c(-c2ccccc2)c2cccc23)C(c2ccc3ccccc23)=C1,1,1.4084507042253522,0,0.0
c1ccc2cc3c(cc2c1)c1ccccc1c1c3ccc2ccc3ccccc3c21,1,1.4084507042253522,1,1.4084507042253522
C1=C(c2ccccc2)C2=C(c3ccccc3)c3cccc3[CH-][C+]2=C1,1,1.4084507042253522,0,0.0
C1=C(c2ccccc2)c2ccccc2C1=c1c2ccccc2c(=Cc2ccccc2)c2ccccc12,1,1.4084507042253522,1,1.4084507042253522
c1ccc(C2=C3Cc4ccccc4C3[CH-]c3cccc32)cc1,1,1.4084507042253522,0,0.0
C1=[C+]2[CH-]c3cccc3C(c3c4ccccc4cc4ccccc34)=C2c2ccccc21,1,1.4084507042253522,0,0.0
C1=CC2[CH-][c+]3ccccc3C(c3cccc(-c4c5ccccc5cc5ccccc45)c3)=C2C(c2ccccc2)=C1,1,1.4084507042253522,0,0.0
C(=C1c2ccccc2-c2c1ccc1ccccc21)c1c2ccccc2cc2ccccc12,1,1.4084507042253522,1,1.4084507042253522
C1=C(c2ccccc2)C(c2ccccc2)=[C+]2[CH-]c3cccc3C(c3ccccc3)=C12,1,1.4084507042253522,0,0.0
C1=[C+]2[CH-][CH-]c3cccc3C(c3ccccc3)=C2C(c2ccccc2)=C1c1ccccc1,1,1.4084507042253522,0,0.0
C1=C2[CH-]c3cccc3C(c3ccccc3)=[C+]2[CH-]c2cccc21,1,1.4084507042253522,0,0.0
c1ccc2c(c1)C(=C1Cc3c4ccccc4cc4cccc1c34)c1ccccc1-2,1,1.4084507042253522,0,0.0
C=C1C2=C(c3ccccc3)c3cccc3[CH-]C2=C(c2ccccc2)c2cc3cccc1c3c2,1,1.4084507042253522,0,0.0
c1ccc(C2=C(c3cccc3)c3c(c(-c4cccc4)c4cccc4c3-c3ccccc3)[CH-]2)cc1,1,1.4084507042253522,0,0.0
C1=C(c2ccccc2)C(=C2c3cccc3[CH-]c3cccc32)c2ccccc21,1,1.4084507042253522,0,0.0
c1ccc(C2=C3C(c4ccccc4)=[C+]3[CH-][CH-]c3cccc32)cc1,1,1.4084507042253522,0,0.0
c1ccc2c(c1)C(=C1c3ccccc3-c3ccccc31)CCC2=C1c2cc3ccccc3cc2-c2ccc3ccccc3c21,1,1.4084507042253522,1,1.4084507042253522
C=c1ccccc1C=C1[C+]=C[C+](=C)C=C1,1,1.4084507042253522,0,0.0
[C+]1=C(c2ccccc2)CC=C(c2cccc3ccccc23)C1=Cc1c2ccccc2cc2ccccc12,1,1.4084507042253522,0,0.0
C=C(Cc1ccccc1)c1ccccc1,1,1.4084507042253522,2,2.8169014084507045
C1=C(c2ccccc2)C2=Cc3cccc3[CH-][C+]2=C1c1ccccc1,1,1.4084507042253522,0,0.0
C1=CC(=[C+]2[CH-]C(c3ccccc3)C=C3[CH-]c4cccc4C(c4ccccc4)=C32)C=C1,1,1.4084507042253522,0,0.0
c1ccc(C2=C3[CH-]c4cccc4C(c4ccccc4)=C3[CH-]c3cccc32)cc1,1,1.4084507042253522,0,0.0
