Substructure,Count,Count max,step max,step min,step count,step_list,median_score_fragment_max,median_score_fragment_min,Mean score cluster,median_score_fragment_list,diff_median_score_max,diff_median_score_min,Mean diff score,diff_median_score_list,count_per_molecule_max,count_per_molecule_first,count_per_molecule_mean,Total Number of Molecules with Substructure,Number of Molecules with Substructure List,Molecules containing fragment,Number of Molecules_with_Fragment,count_perc_ratio
C1=C(c2ccccc2)C2=C(c3ccccc3)C(c3ccccc3)=C2C=C(c2ccccc2)[P-]12(c1ccccc1)=[N+](c1ccccc1)N=C2c1ccccc1,1,1,170,170,1,[170],0.2915869,0.2915869,0.2915869,[0.2915869],0.0826237,0.0826237,0.0826237,[0.0826237],1,1,1.0,1,[1],{'Cc1ccc(C2=CC3=C(c4ccccc4)C(c4ccc(C)cc4)=C3C(c3ccccc3)=C[P-]23(c2ccccc2)=[N+](c2ccccc2)N=C3c2ccccc2)cc1'},1,1.0
C1CCC(C2CC2)CC1,1,1,20,20,1,[20],0.0013222,0.0013222,0.0013222,[0.0013222],0.0001216999999999,0.0001216999999999,0.0001216999999999,[0.0001216999999999],1,1,1.0,1,[1],{'COC(=O)C1(c2ccc(C(F)(F)F)cc2)CO1'},1,1.0
C1CCC(C2CCC3CCCCC3C2)CC1,1,1,20,20,1,[20],0.0,0.0,0.0,[0.0],-0.0013222,-0.0013222,-0.0013222,[-0.0013222],1,1,1.0,1,[1],{'CC(=O)c1c(-c2ccccc2)cc2ccccc2c1C'},1,1.0
C1CCC(C2CCCC2)CC1,1,1,10,10,1,[10],0.000153,0.000153,0.000153,[0.000153],-0.0002328499999999,-0.0002328499999999,-0.0002328499999999,[-0.0002328499999999],1,1,1.0,1,[1],{'N#CC1CCC(c2ccccc2)O1'},1,1.0
C1CCC(C2CCCCC2)CC1,2,2,20,20,1,[20],0.02843975,0.02843975,0.02843975,[0.02843975],0.0271784,0.0271784,0.0271784,[0.0271784],1,1,1.0,1,[1],"{'O=Cc1cc(-c2ccc(Br)cn2)c(Br)cc1Br', 'COCC(=O)Oc1cc(-c2cccnc2)c(OC(C)=O)cc1C'}",2,1.0
C1CCC(CC2CCCC2)C1,1,1,20,20,1,[20],0.0,0.0,0.0,[0.0],-0.0013222,-0.0013222,-0.0013222,[-0.0013222],1,1,1.0,1,[1],{'O=C(O)C(O)(c1cccs1)c1cccs1'},1,1.0
C1CCC(CCC2CCCC2)CC1,1,1,10,10,1,[10],0.0,0.0,0.0,[0.0],-0.00038585,-0.00038585,-0.00038585,[-0.00038585],1,1,1.0,1,[1],{'COCC(=C(Cl)c1ccccc1)c1ccco1'},1,1.0
C1CCC(CCC2CCCCC2)CC1,2,2,20,20,1,[20],0.0,0.0,0.0,[0.0],-0.00168545,-0.00168545,-0.00168545,[-0.00168545],1,1,1.0,1,[1],"{'CC(=O)NC(=Cc1ccccc1)c1ccccc1', 'COc1cc(C#Cc2ccccc2)cc(C=O)c1O'}",2,1.0
C1CCC(CCCC2CCCC2)CC1,1,1,20,20,1,[20],0.0,0.0,0.0,[0.0],-0.0013222,-0.0013222,-0.0013222,[-0.0013222],1,1,1.0,1,[1],{'N#CCCC(=NNc1ccc([N+](=O)[O-])cc1)c1ccco1'},1,1.0
C1CCC2CC2C1,1,1,10,10,1,[10],0.0001698,0.0001698,0.0001698,[0.0001698],-0.0002160499999999,-0.0002160499999999,-0.0002160499999999,[-0.0002160499999999],1,1,1.0,1,[1],{'COC(=O)C12CC1C(C)(O)C(Cl)CC2Cl'},1,1.0
C1CCC2CCCC2C1,5,2,120,10,3,"[10, 50, 120]",0.0014941,0.0,0.0005438166666666667,"[0.00013735, 0.0014941, 0.0]",-0.00026275,-0.1232647,-0.04905615,"[-0.00026275, -0.023641, -0.1232647]",3,3,2.3333333333333335,7,"[3, 3, 1]","{'CC(C)n1ccc2cc([N+](=O)[O-])ccc21', 'CC(=O)n1c[s+]c2cc(Cl)ccc21', 'Cc1coc2ccc([S+](C)[O-])cc12', 'OCc1nc2ccccc2[nH]1', 'CC(=O)C(c1nc2ccccc2[nH]1)C(C)C'}",5,1.0
C1CCC2CCCC2CC1,1,1,30,30,1,[30],0.0108106,0.0108106,0.0108106,[0.0108106],0.0077493,0.0077493,0.0077493,[0.0077493],1,1,1.0,1,[1],{'O=C([O-])c1ccc2cccccc1-2'},1,1.0
C1CCC2CCCCC2C1,8,4,30,10,3,"[10, 20, 30]",0.03644265,0.0,0.012681766666666665,"[0.0, 0.03644265, 0.00160265]",0.0351813,-0.00150515,0.011092016666666668,"[-0.0004001, 0.0351813, -0.00150515]",4,1,2.0,6,"[1, 4, 1]","{'OCCOc1cccc2ncccc12', 'CC(=O)CC1(O)Cc2cc(N(C(C)=O)C(C)=O)ccc2C(OC(C)=O)(OC(C)=O)C1OC(C)=O', 'CCC1(C(=O)OC)CCc2ccccc2C1(C)C#N', 'CC(C)P(Cc1cccc2cccnc12)C(C)(C)C', 'CCCCCCCCCCCCOc1cccc2c(OCCCCCCCCCC)cccc12', 'Cc1nc2ccccc2c(N)c1C=O', 'COc1ccc2cnc(C)cc2c1', 'COC(=O)c1ccc2cc(C)cc(C(=O)OC)c2c1C(=O)OC'}",8,4.0
C1CCCC(CC2CCCCC2)CC1,1,1,50,50,1,[50],0.0090096,0.0090096,0.0090096,[0.0090096],-0.0161255,-0.0161255,-0.0161255,[-0.0161255],1,1,1.0,1,[1],{'COC(=O)C1(C(=O)OC)CC(=Cc2ccccc2)CCSC1(C)OC'},1,1.0
C1CCCC1,6,3,80,10,4,"[10, 20, 30, 80]",0.0022027,0.0,0.000550675,"[0.0, 0.0, 0.0022027, 0.0]",-0.00038585,-0.07033895,-0.018249649999999975,"[-0.00038585, -0.0013222, -0.0009515999999999, -0.07033895]",12,10,8.0,32,"[10, 12, 6, 4]","{'O=[N+]([O-])c1n[o+]c([O-])[nH]1', 'CC1(C)OCC(C=CC#N)O1', 'COC(=O)C=Cc1ccco1', 'C[Si](C)(C)[Si]1(Cl)[Si](C)(C)[Si](Cl)(Cl)[Si](Cl)(Cl)[Si]1(C)C', 'CC(=O)C1C(C)C(O[Si](C)(C)C(C)(C)C)CC1[S+](C)[O-]', 'CCc1c(C)nn(CCCN)c1C'}",6,1.2
C1CCCCC1,41,8,210,10,18,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 130, 140, 150, 160, 180, 190, 210]",0.1281581,0.0,0.009090488888888889,"[0.0, 0.0, 8.22e-05, 0.0013852, 0.0018309, 0.00042035, 0.0152032, 0.00480265, 0.00029915, 0.0, 0.0007502, 0.000836, 0.0002977, 0.0, 0.0025389, 0.0060698, 0.1281581, 0.00095445]",-0.0009483,-0.27664625,-0.11087370555555554,"[-0.0009483, -0.0034551499999999, -0.0030721, -0.0137381, -0.0233042, -0.02498275, -0.0193901499999999, -0.0657625499999999, -0.05502695, -0.1059955, -0.15502385, -0.18179025, -0.1844748, -0.21623035, -0.2503501999999999, -0.25030895, -0.1652263, -0.27664625]",18,14,5.166666666666667,93,"[14, 18, 7, 12, 8, 7, 8, 2, 2, 3, 1, 1, 3, 2, 2, 1, 1, 1]","{'CC(=O)NC1=CCCCC1', 'CN(C)N=Nc1ccc(Br)cc1C=NO', 'Nc1ccc(Br)cc1Cl', '[SiH3]c1ccc(SBr)cc1', 'CC(C)(C)OC(=N[N+](=O)[O-])NCc1ccc(Cl)cc1', 'Cc1ccc(N(C)C)nn1', 'CC(=O)Nc1ccccc1C(=O)C(C)(C)F', 'Clc1cc(Cl)cc(Cl)c1', 'Cc1c(N)cccc1Br', 'Nc1ncccc1[S+]=NS[O-]', 'NC(=O)c1ccc(N)cc1', 'CN(C)S(=O)(=O)c1ccc(F)cc1Cl', 'Cc1ccc(S(=O)(=O)N(C)[SiH3])cc1', 'Nc1ccncc1', 'NC(=O)c1ccccc1Cl', 'Nc1c(F)ccc(F)c1Cl', 'O=C(O)Cc1cccc(F)c1C(=O)O', 'CCOC(=O)c1c(OC)cc(OC)cc1OC', 'CC(C)C(=O)Nc1ccc(C=O)cc1', 'O=[N+]([O-])C=Cc1ccccc1', 'N[SiH2]c1ccccc1', 'CC(=O)Nc1c(Cl)ccc([N+](=O)[O-])c1[N+](=O)[O-]', '[O-][C-]1[C-](F)[C+](F)[C+](F)[C-](F)C1F', 'NC(=S)NN=Cc1ccccn1', 'CC(=[S+]CCC(C)=C(C#N)C#N)C(C(=O)c1ccccc1)=[N+]([O-])[O-]', 'CNC(=S)NN=C(C)c1ccccc1', 'CC(=S)N1CCN(C)CC1', 'CN(C(C#N)=C(F)F)c1ccccc1', 'COC(=O)c1ccccn1', 'CN(c1ccc([N+](=O)[O-])cc1)[N+](=O)[O-]', 'COC(=O)CNC(=O)C(C)(C)NC(=O)CCNC(=O)c1ccccc1', 'C#CC[P-](#[O+])(CCl)Cc1ccccc1', '[NH3+]c1ccc(S(=O)(=O)[O-])cc1', 'NC(=S)CCCCCN1CCCCC1', 'COC(=O)C(C)NC(=O)C=Cc1ccccc1', 'Brc1cncnc1', 'O=[N+]([O-])c1ccncc1', 'O=C(O)C=CC=Cc1ccccc1', 'CCOC(=O)C(Cl)(N(C(=O)C(C)(Cl)[Si](C)(C)C)c1ccccc1)[PH](=O)OC', 'COC(=S)Nc1ccccc1', 'CO[P-](#[O+])(CNc1ccccc1C#N)CC(C)=O'}",41,1.2857142857142858
C1CCCCCC1,1,1,120,120,1,[120],4.3e-05,4.3e-05,4.3e-05,[4.3e-05],-0.1205803,-0.1205803,-0.1205803,[-0.1205803],1,1,1.0,1,[1],{'[BH3-][P+]1(C)CCCCSC1C'},1,1.0
CC(CCC1CCCCC1)C1CCCCC1,1,1,20,20,1,[20],0.0,0.0,0.0,[0.0],-0.0013222,-0.0013222,-0.0013222,[-0.0013222],1,1,1.0,1,[1],{'O=C(C[Se]c1ccccc1)c1ccc(Cl)cc1[N+](=O)[O-]'},1,1.0
CC1(C)CCCCCCCC1,1,1,30,30,1,[30],0.0765199,0.0765199,0.0765199,[0.0765199],0.0734586,0.0734586,0.0734586,[0.0734586],2,2,2.0,2,[2],{'C[S+]=[P-]1(=S)N=[S+][N-]SSC(C)(C)SS1'},1,1.0
CC1CC(C)C2CCCC12,1,1,50,50,1,[50],0.0,0.0,0.0,[0.0],-0.0251351,-0.0251351,-0.0251351,[-0.0251351],1,1,1.0,1,[1],{'O=C1c2cc[nH]c2C(=O)N1CCCF'},1,1.0
CC1CC(C)C2CCCCC2C1,1,1,50,50,1,[50],0.0049094,0.0049094,0.0049094,[0.0049094],-0.0202257,-0.0202257,-0.0202257,[-0.0202257],1,1,1.0,1,[1],{'O=c1[nH]c(=S)[nH]c2ccccc12'},1,1.0
CC1CC2CCC1C2,1,1,10,10,1,[10],0.0,0.0,0.0,[0.0],-0.00038585,-0.00038585,-0.00038585,[-0.00038585],2,2,2.0,2,[2],{'CC(=O)C12CCC(C1)C(C)(C)C2=O'},1,1.0
CC1CC2CCCC2C1,1,1,20,20,1,[20],4.6e-05,4.6e-05,4.6e-05,[4.6e-05],-0.0012762,-0.0012762,-0.0012762,[-0.0012762],1,1,1.0,1,[1],{'CC1C2OC(=O)CC2CC1(C)O'},1,1.0
CC1CCC(C)C1,1,1,70,70,1,[70],0.0,0.0,0.0,[0.0],-0.0345933499999999,-0.0345933499999999,-0.0345933499999999,[-0.0345933499999999],2,2,2.0,2,[2],{'CCCn1[nH]c(=S)[nH]c1=O'},1,1.0
CC1CCC(C)C2CCCCC12,1,1,20,20,1,[20],0.2502244,0.2502244,0.2502244,[0.2502244],0.2490239,0.2490239,0.2490239,[0.2490239],1,1,1.0,1,[1],{'COC1=C(O[Si](C)(C)C)C(=O)c2ccccc2C1=O'},1,1.0
CC1CCC(C2CCCCC2)C1,1,1,20,20,1,[20],0.018379,0.018379,0.018379,[0.018379],0.0171785,0.0171785,0.0171785,[0.0171785],1,1,1.0,1,[1],{'O=C1CC(c2ccc(Cl)cc2)C([N+](=O)[O-])(C(F)(F)F)N1'},1,1.0
CC1CCC2CCCCC12,1,1,20,20,1,[20],0.0,0.0,0.0,[0.0],-0.0013222,-0.0013222,-0.0013222,[-0.0013222],2,2,2.0,2,[2],{'CC(=O)OCC(=NO)C(=O)OC1(C(Cl)(Cl)Cl)NC(=O)c2ccccc21'},1,1.0
CC1CCC2CCCCC2C1,1,1,10,10,1,[10],0.0396903,0.0396903,0.0396903,[0.0396903],0.03936715,0.03936715,0.03936715,[0.03936715],1,1,1.0,1,[1],{'Cc1ccc2cc(C(N)=O)c(=O)oc2c1Br'},1,1.0
CC1CCCC(C)C1,1,1,30,30,1,[30],0.0,0.0,0.0,[0.0],-0.0031543,-0.0031543,-0.0031543,[-0.0031543],3,3,3.0,3,[3],{'CCN1C(=S)COCC1=S'},1,1.0
CC1CCCC(C2CCCCC2)C1,2,1,130,20,2,"[20, 130]",0.1864823,0.0,0.09324115,"[0.0, 0.1864823]",0.00524035,-0.0013222,0.0019590750000000002,"[-0.0013222, 0.00524035]",1,1,1.0,2,"[1, 1]","{'CC(=O)OC1C(=O)CC(C)CC1c1ccccc1', 'Cc1cc(-c2ccc([N+](=O)[O-])cc2)cc(=[NH+][O-])n1[O-]'}",2,1.0
CC1CCCC1C1CCCCC1,1,1,10,10,1,[10],0.0,0.0,0.0,[0.0],-0.00038585,-0.00038585,-0.00038585,[-0.00038585],1,1,1.0,1,[1],{'CCOC(=O)C1C(c2ccc([N+](=O)[O-])cc2)C(=NC(N)=O)N(O)C1C'},1,1.0
CC1CCCC1CC1CCCCC1,1,1,100,100,1,[100],0.0,0.0,0.0,[0.0],-0.10565995,-0.10565995,-0.10565995,[-0.10565995],1,1,1.0,1,[1],{'C=CC1=NNC(=O)C1=Cc1ccc(Br)cc1'},1,1.0
CC1CCCC2CC12,1,1,60,60,1,[60],0.0050619,0.0050619,0.0050619,[0.0050619],-0.0192803,-0.0192803,-0.0192803,[-0.0192803],1,1,1.0,1,[1],{'CC1CCC2C(Cl)(Cl)C2(O)C1=O'},1,1.0
CC1CCCC2CCCCC12,1,1,50,50,1,[50],0.0020162,0.0020162,0.0020162,[0.0020162],-0.0231189,-0.0231189,-0.0231189,[-0.0231189],1,1,1.0,1,[1],{'O=C1CCCC2(F)CCCCC12'},1,1.0
CC1CCCCC1,2,1,50,30,2,"[30, 50]",0.062093,0.0177896,0.0399413,"[0.0177896, 0.062093]",0.037209,0.0147283,0.02596865,"[0.0147283, 0.037209]",8,6,7.0,14,"[6, 8]","{'Nc1[n-]c(Cl)c([N+](=O)[O-])[n+](=O)c1[N+](=O)[O-]', 'N#[N+][N-]c1cc(Cl)c(=N[N+]([O-])[O-])on1'}",2,1.3333333333333333
CC1CCCCC1C1CCCC1,1,1,20,20,1,[20],0.0298733,0.0298733,0.0298733,[0.0298733],0.0286728,0.0286728,0.0286728,[0.0286728],1,1,1.0,1,[1],{'O=c1nc(Br)ccn1C1OC(CO)C(O)C1O'},1,1.0
CC1CCCCCC1C1CCCCC1,1,1,50,50,1,[50],0.0,0.0,0.0,[0.0],-0.0251351,-0.0251351,-0.0251351,[-0.0251351],1,1,1.0,1,[1],{'CCN(C1=NC(=S)N(c2ccc(OC)cc2)CCO1)C(C)C'},1,1.0
O=C1c2ccccc2NC2c3ccccc3O[P-]2(NC23N=NC2O3)(=[O+]c2ccccc2)Oc2ccccc21,1,1,120,120,1,[120],0.0558866,0.0558866,0.0558866,[0.0558866],-0.0647367,-0.0647367,-0.0647367,[-0.0647367],1,1,1.0,1,[1],{'CN1c2ccccc2C(=O)c2ccccc2O[P-]2(NC34N=NC3(C)O4)(=[O+]c3ccccc3[N+](=O)[O-])Oc3ccccc3C12'},1,1.0
[CH]1CCC2CCCC2C1,1,1,10,10,1,[10],0.0,0.0,0.0,[0.0],-0.00038585,-0.00038585,-0.00038585,[-0.00038585],2,2,2.0,2,[2],{'CC(C)(C)C1=[Se][P-]([Se-])(C(C)(C)C)=[Se+]c2cscc21'},1,1.0
