Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment,median_score,median_score_fragment,median_score_not_fragment,molecules_with_fragment,num_atoms,diff_median_score,step
C1CCCCC1,4,3.418803418803419,14,11.965811965811966,0.0003716,0.0,0.0009483,"['CC(=O)Nc1ccccc1C(=O)C(C)(C)F', 'CC(=O)NC1=CCCCC1', 'CCOC(=O)c1c(OC)cc(OC)cc1OC', 'NC(=O)c1ccc(N)cc1']",6,-0.0009483,10
C1CCC2CCCCC2C1,4,3.418803418803419,1,0.8547008547008548,0.0003716,0.0,0.0004001,"['CCCCCCCCCCCCOc1cccc2c(OCCCCCCCCCC)cccc12', 'Cc1nc2ccccc2c(N)c1C=O', 'CC(C)P(Cc1cccc2cccnc12)C(C)(C)C', 'CCC1(C(=O)OC)CCc2ccccc2C1(C)C#N']",10,-0.0004001,10
C1CCC2CCCC2C1,2,1.7094017094017095,3,2.564102564102564,0.0003716,0.00013735,0.0004001,"['OCc1nc2ccccc2[nH]1', 'CC(C)n1ccc2cc([N+](=O)[O-])ccc21']",9,-0.00026275,10
C1CCC(CC(CC2CCCCC2)C2CCCCC2)CC1,2,1.7094017094017095,0,0.0,0.0003716,0.0,0.0004001,"['CC(C)c1cccc(C(C)C)c1N=P(=Nc1c(C(C)C)cccc1C(C)C)c1ccccc1', 'CC(=C(c1ccccc1)N(C)c1ccccc1)c1ccccc1']",21,-0.0004001,10
,2,1.7094017094017095,0,0.0,0.0003716,0.0,0.0004001,"['CC(C)(C)SO', 'CC(=O)NCC(N)=O']",0,-0.0004001,10
CC(C1CCCCC1)C1CCC2CCCCC2C1,1,0.8547008547008548,0,0.0,0.0003716,0.0,0.00038585,['O=C(c1ccccc1Br)c1ccc2ccccc2c1C=CCl'],18,-0.00038585,10
C1CCC(CC2CCCC3CC23)CC1,1,0.8547008547008548,0,0.0,0.0003716,0.0003716,0.0003374,['OCC1OC(OC2OC(CO)C(O)C3OC23)C(O)C(O)C1O'],14,3.4199999999999964e-05,10
CC1C(C(C2CCCCC2)C2CCCCC2)C2CCCCC2C12C(C1CCCCC1)C2C1CCCCC1,1,0.8547008547008548,0,0.0,0.0003716,0.0,0.00038585,['CCOc1ccccc1C1C(c2ccc(OC)cc2)C12C(=O)N(C(c1ccccc1)c1ccccc1)c1ccccc12'],37,-0.00038585,10
CC1CC(C)(C)C2CCCCC12,1,0.8547008547008548,0,0.0,0.0003716,0.0,0.00038585,['CCN1C(=S)c2ccccc2S1(=O)=O'],12,-0.00038585,10
CC1CCC2C(CCC3C4CCC(C)C4CCC23)C1,1,0.8547008547008548,0,0.0,0.0003716,0.0281539,0.00032315,['C=C1CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC12C'],19,0.027830749999999998,10
CC1CCCC1C1CCCCC1,1,0.8547008547008548,1,0.8547008547008548,0.0003716,0.0,0.00038585,['CCOC(=O)C1C(c2ccc([N+](=O)[O-])cc2)C(=NC(N)=O)N(O)C1C'],12,-0.00038585,10
CC(C)(C1CCCCC1)C(CC1CCCCC1)C1CCCCC1,1,0.8547008547008548,0,0.0,0.0003716,0.0,0.00038585,['C=C(C(C)=O)C(c1ccccc1)N(c1ccc(C(=O)OC)cc1)S(=O)(=O)c1ccc(C)cc1'],23,-0.00038585,10
C(CCCC1C2CCCCC2CC2CCCCC21)CCC1CCCC2CCCCC12,1,0.8547008547008548,0,0.0,0.0003716,0.0,0.00038585,['Oc1ccc2cccc(CNCCNCc3c4ccccc4cc4ccccc34)c2c1'],30,-0.00038585,10
CC(C1CCCC1)C1C(C)C2CCCCC2C1CC1CCCCC1CCC1CCCCC1,1,0.8547008547008548,0,0.0,0.0003716,0.0,0.00038585,['CP1COCC1C(=O)N1C(=O)c2ccccc2C1CC1C(CCc2ccccc2)CCCC1O[Si](C)(C)C(C)(C)C'],32,-0.00038585,10
CC(C)(C1CCCCC1)C1CC2CCCCC2C1C1CCCCC1,1,0.8547008547008548,0,0.0,0.0003716,0.0022229,0.00032315,['Cc1ccc(S(=O)(=O)N2Cc3ccccc3C2c2ccccc2)cc1'],24,0.00189975,10
CC1CCCC(CCC2CCCCC2)C1,1,0.8547008547008548,0,0.0,0.0003716,0.0906315,0.00032315,['CN1CCN(N=Nc2ccccc2Br)CC1=O'],15,0.09030835000000001,10
CC1C(CC2CCCCC2)C2CCCCC2C1C(C1CCCCC1)C1CC2CCC1CC1CCCC12,1,0.8547008547008548,0,0.0,0.0003716,0.0,0.00038585,['CC(C)(C)OC(=O)N1C(C(c2ccccc2)C2(C)C(=O)N(Cc3ccccc3)c3cc(Cl)ccc32)=C2CCC1C1OC(C)(C)OC1C2'],36,-0.00038585,10
C1CCC(CCC2CCCCC2)CC1,1,0.8547008547008548,0,0.0,0.0003716,0.0400795,0.00032315,['O=COc1ccc(F)cc1C=Nc1ccc(F)cc1'],14,0.039756349999999996,10
CC(CCC(CC1CCCCC1)C1CCCCC1)C1CCCCC1,1,0.8547008547008548,0,0.0,0.0003716,0.0,0.00038585,['CC(C)(C)C(OC(=O)c1ccccc1)C(C)(Cc1ccccc1)c1ccccc1'],24,-0.00038585,10
C1CCC2CC2C1,1,0.8547008547008548,1,0.8547008547008548,0.0003716,0.0001698,0.00038585,['COC(=O)C12CC1C(C)(O)C(Cl)CC2Cl'],7,-0.00021604999999999997,10
CC1(C)CC(C2CCCCC2)CC2CCCCC21,1,0.8547008547008548,0,0.0,0.0003716,0.0180158,0.00032315,['O=S1(=O)N=C(c2ccccc2)C(F)(F)c2cc(Br)ccc21'],18,0.017692649999999997,10
C1CCC2CC(C3CC4CC5CCCCC5C4C3)CC2C1,1,0.8547008547008548,0,0.0,0.0003716,0.2036887,0.00032315,['N#Cc1c(-c2cc3oc4ccccc4c3o2)oc2ccccc12'],21,0.20336555,10
CC1CC(C2CCCCC2)C(C2CC(C3CCCC3C3CCCCC3)CC2CCC2CCCC(CCC3CCCCC3)C2)C1,1,0.8547008547008548,0,0.0,0.0003716,0.0,0.00038585,['CC[Se]C1=C(c2cc(C(=O)OC)cc(C(C)(C)C)c2O)C(C#N)(c2cc(C3=C(c4cc(CCC(=O)OC)cc(OC)c4)CCC3)sc2C#Cc2ccc(OC)c(C#Cc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)c2)CC1=O'],44,-0.00038585,10
C1CCC(C2CC3CCC3(C3CCCCC3)C2)CC1,1,0.8547008547008548,0,0.0,0.0003716,0.0688722,0.00032315,['Cc1cc(C)c([N+]2=CC3([N+](=O)[O-])C=NC3(c3ccc([N+](=O)[O-])cc3)[N-]2)c(C)c1'],19,0.06854905,10
CC1CC(C2CCCCC2)C(C2CCCCC2)CC1C1CCCCC1,1,0.8547008547008548,0,0.0,0.0003716,0.2064143,0.00032315,['COc1ccc(-c2oc(=O)c(-c3ccccc3)cc2-c2cccc(OC)c2OC)cc1OC'],25,0.20609115,10
CC(C)(CCCC1CCCCC1)C1CCCCC1,1,0.8547008547008548,0,0.0,0.0003716,0.0,0.00038585,['C=CC(CC(C#N)S(=O)(=O)c1ccccc1)c1ccccc1'],18,-0.00038585,10
C1CCCCCCCCCCCCCCCCCCC1,1,0.8547008547008548,0,0.0,0.0003716,0.0177451,0.00032315,['C1#C[Se]C#C[Se]CCC[Se]C#C[Se]CCCC[Se]C#C1'],20,0.01742195,10
CC1CC2(CC2C2CCCCC2)C2C3CCCCC3C(C)C3CCC(C4CCCCC4)C3C12,1,0.8547008547008548,0,0.0,0.0003716,0.0334492,0.00032315,['Cc1ccc(C2CC23CC(=O)N2c4c(-c5ccccc5)nnn4C(=O)c4ccccc4N23)cc1'],33,0.03312605,10
CC(CC1CCCCC1)C(C)CC1C(C)C2CCCCC2C1C,1,0.8547008547008548,0,0.0,0.0003716,0.0,0.00038585,['O=C(Nc1ccc(O)cc1)C(=O)ON1C(=O)c2ccccc2C1=O'],23,-0.00038585,10
C1CCC(C2CC(C3CCCCC3)C3C4CCCCC4C(C4CCCCC4)(C4CCCCC4)C3C2C2CCCCC2)CC1,1,0.8547008547008548,0,0.0,0.0003716,0.0377719,0.00032315,['c1ccc(-c2cc(-c3ccccc3)c3c(c2-c2ccccc2)[Si](c2ccccc2)(c2ccccc2)c2ccccc2-3)cc1'],43,0.037448749999999996,10
C1CCC(CCC2C3CCCC2C2CCCC2CC2C4CCCCC4C4CC4C2C2CCCC(C3)C2CCC2CCCCC2)CC1,1,0.8547008547008548,0,0.0,0.0003716,0.0020243,0.00032315,['FC1C2c3ccccc3C3OC4CCCC4c4cccc(c4OCc4ccccn4)Cc4cccc(c4OCc4ccccn4)C3C12'],46,0.0017011500000000002,10
C1CCC(C2CC3CCCCC3C(C3CCCCC3)C2)CC1,1,0.8547008547008548,0,0.0,0.0003716,0.0,0.00038585,['CCc1ccccc1N1CC(c2ccccc2)=Nc2cccnc21'],22,-0.00038585,10
C1CCC(CC2CC3CCC2CC3)CC1,1,0.8547008547008548,0,0.0,0.0003716,0.0011668,0.00032315,['OC1C2C=CN(CC2)C1Cc1ccc(Cl)cc1'],15,0.0008436499999999999,10
CC1CCCCCCCCC2C3CC(C3)C12,1,0.8547008547008548,0,0.0,0.0003716,0.0108788,0.00032315,['CC1=CC(=O)C2C3CC(O3)C2(C)CC(C)C=CCC1'],16,0.01055565,10
C1CCC(CC2CC2C2CCCCC2)CC1,1,0.8547008547008548,0,0.0,0.0003716,0.0,0.00038585,['CCOP(=O)(OCC)C(c1ccccc1)C1C(C(C)=O)C1c1ccccc1'],16,-0.00038585,10
CC(CCCC1CCCCC1)C1CCCCC1,1,0.8547008547008548,0,0.0,0.0003716,0.0,0.00038585,['CCOc1ccc(C=NNC(=O)c2ccccc2O)c(O)c1'],17,-0.00038585,10
CC1C2CCCCC2C2C3CCC(C3)C12CCC1CCCCC1,1,0.8547008547008548,0,0.0,0.0003716,0.0394338,0.00032315,['CC1(C)C2CCC1C1(OCc3ccccc3)C(=O)c3ccccc3C21'],23,0.03911065,10
C1CCC2C(C1)CCCC1CCCCC12,1,0.8547008547008548,0,0.0,0.0003716,0.0022286,0.00032315,['Cc1cc(C)c2c(c1)O[P-](C)(#[O+])Oc1ccccc1-2'],15,0.00190545,10
C1CCC2C3CCC(C(C1)C3)C1CCCCC21,1,0.8547008547008548,0,0.0,0.0003716,0.0,0.00038585,['CCOC(=O)C12COCOC1C1C(C)C(O[Si](C)(C)C(C)(C)C)C3OC1C(C)C(C)CCC32C'],17,-0.00038585,10
C1CCC23CC2CC3C1,1,0.8547008547008548,0,0.0,0.0003716,0.0016065,0.00032315,['ClC1=NC2=[NH+]C3(Cl)[N-]C23C(Cl)=N1'],9,0.00128335,10
C1CCC(C(C2CCCCC2)C2CCCC2)CC1,1,0.8547008547008548,0,0.0,0.0003716,0.0020981,0.00032315,['Fc1ccc([P-](#[S+])(c2ccccc2)C2CCCC2)cc1'],18,0.00177495,10
C1CCC(C2CCCC3CCC4C(CC5CCCCC5C4C4CCCCC4)C32)CC1,1,0.8547008547008548,0,0.0,0.0003716,0.2305898,0.00032315,['N#Cc1cnc2ccc3c(-c4ccccc4)c4ccccc4nc3c2c1-c1ccccc1'],30,0.23026665000000002,10
CC1CCC2CCCCC2C1,1,0.8547008547008548,1,0.8547008547008548,0.0003716,0.0396903,0.00032315,['Cc1ccc2cc(C(N)=O)c(=O)oc2c1Br'],11,0.03936715,10
C1CCC2C(C1)CC1CCCC12,1,0.8547008547008548,0,0.0,0.0003716,0.0012603,0.00032315,['Cc1noc2c1[nH]c1ccccc12'],12,0.00093715,10
C1CCC2C(C1)CC1C3CCCCC3CC21,1,0.8547008547008548,0,0.0,0.0003716,0.0143848,0.00032315,['c1ccc2c(c1)sc1c3ccccc3sc21'],16,0.01406165,10
C1CCC2CC3CCCC3CC2C1,1,0.8547008547008548,0,0.0,0.0003716,0.0,0.00038585,['COC(=O)C1C(C#N)c2cc3ccccc3cc2C1OC(=O)C(C)(C)C'],13,-0.00038585,10
CC1CC(C)C23CC1C1C(CCC12)C1CCCCC1C1CCCCC13,1,0.8547008547008548,0,0.0,0.0003716,0.0,0.00038585,['CC(=O)c1nn2c3c1C1(CC3(C)C(=O)N(C)C1=O)c1ccccc1-c1ccccc1-2'],25,-0.00038585,10
CC1C2CC1C(C)(C)C(C1CCCCC1)C1CCCC21,1,0.8547008547008548,0,0.0,0.0003716,0.0,0.00038585,['C=C=C1C2CN1S(=O)(=O)C(c1ccccc1)C1(C)CCCC21'],20,-0.00038585,10
CC1C(C2CCCCC2)CCC1C1CC1CC1CCCCC1,1,0.8547008547008548,0,0.0,0.0003716,0.0024623,0.00032315,['O=C1N(c2ccccc2)CCN1C1CC1Oc1ccc(F)cc1'],22,0.0021391500000000003,10
C1CCC(C2CCC3CCCCC32)CC1,1,0.8547008547008548,0,0.0,0.0003716,0.0302372,0.00032315,['N#Cc1ccc(-c2nnn3cc(C#N)ccc23)cc1'],15,0.029914049999999998,10
CC1C2CCCCC2CC(C2CCCCC2)C1CC1CCCC(CC(CC2CCCCC2)CC2CCCCC2)C1,1,0.8547008547008548,0,0.0,0.0003716,0.0600646,0.00032315,['COc1ccc(OC2C(=O)c3ccccc3C=C2c2ccccc2)cc1CN(Cc1ccccc1)Cc1ccccc1'],40,0.05974145,10
CC1CCCC1CC1CCCC(C23CCC2C3)C1,1,0.8547008547008548,0,0.0,0.0003716,0.0058103,0.00032315,['Cc1n[nH]c(=S)n1Cc1cccc(C23N=[O+]C2[N-]3)n1'],18,0.00548715,10
C1CCC(C2CC3CCCCC3C3CCC23)CC1,1,0.8547008547008548,0,0.0,0.0003716,0.0283235,0.00032315,['COC(=O)c1cccc2nc(-c3ccccc3)n3occ3c12'],18,0.02800035,10
CC(CC1CCCCC1)C1CCCCC1,1,0.8547008547008548,0,0.0,0.0003716,0.0,0.00038585,['O=S(=O)(O[C-]=C(c1ccccc1)C(F)(Br)c1ccccc1)C(F)(F)F'],15,-0.00038585,10
C1CCC(CCC2CCCC(CCC3CCCCC3C3CCCC3)C2)CC1,1,0.8547008547008548,0,0.0,0.0003716,0.0077349,0.00032315,['Clc1ccc(COc2cccc(COc3ccccc3-c3cnn[nH]3)c2)cc1'],27,0.00741175,10
CC1CC2CCCCC2C1CC1CCCCC1,1,0.8547008547008548,0,0.0,0.0003716,0.0591193,0.00032315,['S=c1sc2c(Cl)c(Cl)c(Cl)c(Cl)c2n1Cc1ccccc1'],17,0.05879615,10
CC(C)(CC12CC3CC(CC(C3)C1)C2)C1CCCCC1,1,0.8547008547008548,0,0.0,0.0003716,0.0018109,0.00032315,['Cc1ccc(S(=O)(=O)NC23CC4CC(CC(C4)C2)C3)cc1'],20,0.00148775,10
CC1CC2CC3CC4CCCCC4C(C)C3C2C1,1,0.8547008547008548,0,0.0,0.0003716,0.025767,0.00032315,['CC1=C2CC3(C)Oc4ccc(C)cc4C(=O)C3C2(C)N(C)C1=O'],18,0.02544385,10
[CH]1CCC2CCCC2C1,1,0.8547008547008548,2,1.7094017094017095,0.0003716,0.0,0.00038585,['CC(C)(C)C1=[Se][P-]([Se-])(C(C)(C)C)=[Se+]c2cscc21'],9,-0.00038585,10
CC1CCCC2C1CC1CC3CCCCC3CC12,1,0.8547008547008548,0,0.0,0.0003716,0.0,0.00038585,['C=C(C)CC1c2cc3ccccc3cc2C2CCCC(=O)N21'],18,-0.00038585,10
C1CCC(C2CCCCC2)CC1,1,0.8547008547008548,0,0.0,0.0003716,0.0013313,0.00032315,['O=C(O)c1ccc(-c2ccccc2)cc1'],12,0.0010081500000000002,10
CC1(C)CC(C2CCCCC2)C(C2CCCC2C2CCCCC2)C1,1,0.8547008547008548,0,0.0,0.0003716,0.0017935,0.00032315,['Cc1ccccc1-n1ncc(C)c1C1OS(=O)(=O)NC1c1ccccc1'],24,0.00147035,10
CC(C)(C1CCCCC1)C1C2CCCCC2CCC1C1CCCCC1,1,0.8547008547008548,0,0.0,0.0003716,0.0026543,0.00032315,['Cc1ccc(S(=O)(=O)N2c3ccccc3CC(C)C2c2ccccc2C)cc1'],25,0.00233115,10
CC1CCCC2CC3CC(C4CCCCC4)CC3C(C3CCCCC3)C12,1,0.8547008547008548,0,0.0,0.0003716,0.0,0.00038585,['CC(=O)C12OC(c3ccccc3)=CC1OC1=C(C(=O)CC(C)(C)C1)C2c1ccccc1'],26,-0.00038585,10
CC(C1CCCCC1)C1CCC(C2CC3CCC(C4CCCCC4)CC3C2)CC1,1,0.8547008547008548,0,0.0,0.0003716,0.0,0.00038585,['CCn1c(-c2ccc(C(=O)c3ccc(OC)cc3)cc2)nc2ccc(-c3ccc(Br)cc3Br)cc21'],29,-0.00038585,10
C1CCCC1,1,0.8547008547008548,10,8.547008547008547,0.0003716,0.0,0.00038585,['CCc1c(C)nn(CCCN)c1C'],5,-0.00038585,10
C1CCC2CC3CCC4CCCC(CC2C1)C43,1,0.8547008547008548,0,0.0,0.0003716,0.003053,0.00032315,['c1ccc2c(c1)Cc1cccc3scc(c13)C2'],17,0.0027298500000000002,10
CC1CCC2CCCCC12,1,0.8547008547008548,0,0.0,0.0003716,0.0,0.00038585,['CNC(=O)C=CN1C(=O)c2ccccc2C1(C)O'],10,-0.00038585,10
C1CCC(CC2CC(C3(C4CCCCC4)C(CC4CCCCC4)CCC3C3CCCCC3)CC3CCCCC32)CC1,1,0.8547008547008548,0,0.0,0.0003716,0.0,0.00038585,['CCC(C)(B1OC(C2(c3ccccc3)N(Cc3ccccc3)CCN2c2ccccc2)=Cc2ccccc21)c1ccccc1'],41,-0.00038585,10
C1CCC(C(C2CCCCC2)C2CCCC(C(C3CCCCC3)C3CCCCC3)C2)CC1,1,0.8547008547008548,0,0.0,0.0003716,0.0176909,0.00032315,['Cc1cc(C)c(B(c2cccc(P(c3ccccc3)c3ccccc3)c2)c2c(C)cc(C)cc2C)c(C)c1'],32,0.017367749999999998,10
CC1(C)CCCCC2CCCC21,1,0.8547008547008548,0,0.0,0.0003716,7.68e-05,0.00038585,['O=S1(=O)OCCCC2C=CCN21'],12,-0.00030904999999999995,10
